"company","companyLogo","description","externalApplyLink","id","jobType","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Kaushik Cunsultancy",,"Work from home:

 Looking for HR interns.
 Wifi and laptop is must
 Will provide experience certificate after completion of internship.
 Incentives will be extra apart from fixed stipends.

Job Types: Full-time, Part-time, Regular / Permanent, Internship, FreelanceContract length: 6 monthsPart-time hours: 6 per week
Salary: ₹2,000.00 - ₹3,000.00 per month
Benefits:

 Flexible schedule
 Work from home

Schedule:

 Day shift
 Flexible shift
 Morning shift

Supplemental pay types:

 Commission pay
 Performance bonus

Education:

 Bachelor's (Preferred)

Language:

 English (Preferred)
",,"7d2cd5fe12913cc0",,"Delhi, Delhi","HR Internship","Just posted",,,,"2023-02-19T12:28:13.400Z","https://www.indeed.co.in/company/Kaushik-Consultancy/jobs/Human-Resource-Internship-7d2cd5fe12913cc0?fccid=9031ee241705c08f&vjs=3"
"Unikwork",,"
 
  
   
    
     
      
       
        Qualification
        
       Bachelor’s degree in human resources or related field 
      
      
       
        Location
        
       Surat 
      
      
       
        Salary range
        
       Upto 35k 
      
      
       
        Experience/Seniority level
        
       1 to 3 years 
      
      
       
        Job Time
        
       Full Time 
      
     
     Requirements / Your Skills 
     
      
       Arrangement of interviews and manage the overall interview 
       Manage on boarding new hire, enrol on system, Payroll, PF, ESIC etc. 
       Letter issue to employees whenever required like Experience letter, Reliving letter 
       Induction process, Document collect of new joined for verification. 
       Well-developed leadership and management skills at executive management level. 
       Strong analytical, communication skills, change management, advanced interpersonal skills and networking skills 
       A people oriented person who has a passion for people development and transformation and can engage at all levels in the organization 
       Design & post job Ads to attract suitable candidates 
       Handle end to end recruitment 
       *This job is work from office only*
      
     
    
   
  
 
","https://in.indeed.com/applystart?jk=abf89a57c1f87db5&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKkdFF-FX2tN0Fn9kNtJDldNkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=1795d4d61986a825&assa=3576","abf89a57c1f87db5",,"Surat, Gujarat","HR Executive","Just posted",,,"₹35,000 a month","2023-02-19T12:28:13.705Z","https://www.indeed.co.in/rc/clk?jk=abf89a57c1f87db5&fccid=1e3adbaf112828a2&vjs=3"
"Randstad","https://d2q79iu7y748jz.cloudfront.net/s/_logo/8c12eb5b6b8554fe404750ef0e618ec6","
 
  
   
    summary
    
     
      
        sri city
        a client of randstad india
        permanent
      
     
    
   
   
    
     
      
        reference number
       JPC - 80992
    
   
  
 
 
  
    job details
  
  
   
     Recruitment
     
    
     Induction & On-Boarding
     Employee Relation Management [ER]/Grievances /Retention.
     • Training and Development •Contract Labour Management ...
   
   
     • Payroll Management •Statutory Compliance
     
    
     Performance Appraisal Management System
     Employee Engagement
     •General Administration •ISO Process & Procedure Documentation • Employee Exit Process •HRIS
    show more
  
  
   
     Recruitment
     
    
     Induction & On-Boarding
     Employee Relation Management [ER]/Grievances /Retention.
     • Training and Development •Contract Labour Management
     • Payroll Management •Statutory Compliance
     
    
     Performance Appraisal Management System
     Employee Engagement
     •General Administration •ISO Process & Procedure Documentation • Employee Exit Process •HRIS 
   
  
  
   
    
     experience
    
    
     
       6
     
    
  
 
","https://in.indeed.com/applystart?jk=ddd71748108fe55e&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKkDZjAoe33DhU7kfTT3dZ5CkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=34624be07bf35e32&assa=3435","ddd71748108fe55e",,"India","hr manager","Just posted","3.7","17471",,"2023-02-19T12:28:13.957Z","https://www.indeed.co.in/rc/clk?jk=ddd71748108fe55e&fccid=f8b265243da9f9d7&vjs=3"
"DRESS CIRCLE",,"HR REQUIREMENTS :
EXCELLENT COMPUTER SKILLS
STRONG KNOWLEDGE OF EXCEL BASIC SYSTEM :
JOB DESCRIPTION :
The HR is responsible for staff's Payroll , Attendance, Salaries. HR should report to Store Manager and HR Manager , HR responsible in maintaining and updating computerized information for the company. This position requires excellent computer skills and a strong knowledge of Excel. The Operator will be responsible for inputting data, updating records, and generating reports. This position requires a high level of accuracy and attention to detail.
ADVERTISING EXECUTIVE:
ROLES AND RESPONSIBLITIES
CO ORDINATE WITH AD AGENCY FOR AD DESIGNING
BE IN TOUCH WITH FM'S REGULARLY AND KNOW ALL THE OFFERS FLOORWISE AND DISPLAY THEM WHENEVER NECESSARY
ADVT VEHICLE POSTERS AND AUDIO TO BE MAINTAINED
ADVT VEHICLE ROUTES PLANNING,FOLLOWUP,CHECKING AND SURPRISE VISIT ATLEAST ONCE IN A MONTH
ALL DESIGNING WORKS TO BE ATTENDED,THE TV SHOULD BE ON & PLAY WITH OUR LATEST ADVERTISEMENTS AT GROUND FLOOR
DAILY HE HAS TO REPORT HIS DUTIES TO S M
CUSTOMER PH NUMBER ENTRY CHECKING & COLLECT THE PH NUMBERS DATA ALWAYS FROM ANY SPECIAL REGISTERS WHERE WE ARE CONDUCTING
THE DISPLAY TV SHOULD BE ALWAYS IN WORKING HOURS AT GROUND & LOCAL SITICABLE AD SHOULD BE CHECK DAILY WHETHER IT IS UPDATE OR NOT
STEP IN REPORT SUBMITTING TO STORE GROUP & SM DAILY
BAG COUNTING ONCE IN A MONTH WITH SM PERMISSION
GIFT ARTICLES ORDERS AND ITS RECORD MAINTENANACE AND ONHAND QUANTITY CHECKING WITH SYSTEM REGULARLY
QUALIFICATION :
ANY DEGREE .
EXPERIENCE :
SAME FEILD PREFERABLE ...
Job Types: Full-time, Regular / Permanent
Benefits:

 Cell phone reimbursement
 Internet reimbursement
 Provident Fund

Schedule:

 Morning shift

Supplemental pay types:

 Commission pay
 Yearly bonus

Ability to commute/relocate:

 Kurnool, Andhra Pradesh: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Experience:

 HR sourcing: 1 year (Preferred)
 Payroll: 1 year (Preferred)

Speak with the employer+91-XXXXXXXXXX",,"0c1c70d4460004a8",,"Kurnool, Andhra Pradesh","HR Executive","Just posted",,,,"2023-02-19T12:28:14.799Z","https://www.indeed.co.in/company/DRESS-CIRCLE/jobs/Human-Resource-Executive-0c1c70d4460004a8?fccid=6cdf91695de3787f&vjs=3"
"easy jobs consultants",,"POST: HR MANAGER
QULIFICATION: MBA OR EQIVALENT.
KEYSKILL: KNOWLEDGE OF PF, ESI, GARUTIRTY, ETC.
LOCATION: CHINAR PARK, DALHOUSEI ( KOLKATA)
SALARY: 18000 P.M TO 20000 P.M
JOINING: IMMEDIATLY OR ( WITH DISCUSSION)
Job Type: Full-time
Salary: ₹20,000.00 - ₹25,000.00 per month
Schedule:

 Day shift

Supplemental pay types:

 Yearly bonus

Ability to commute/relocate:

 Kolkata, West Bengal: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Experience:

 Payroll: 1 year (Preferred)
 HR: 1 year (Preferred)
 total work: 1 year (Preferred)

License/Certification:

 Professional in Human Resources® (Preferred)

Speak with the employer+91-XXXXXXXXXX",,"3daa4904be942590",,"Kolkata, West Bengal","HR Manager","Just posted",,,"₹20,000 - ₹25,000 a month","2023-02-19T12:28:14.416Z","https://www.indeed.co.in/company/easy-jobs-consultants/jobs/Human-Resource-Manager-3daa4904be942590?fccid=318266b8d01cb7c2&vjs=3"
"Luxe Opera Hotels and Resorts pvt ltd",,"Responsibilities

 Design compensation and benefits packages
 Implement performance review procedures (e.g. quarterly/annual and 360° evaluations)
 Develop fair HR policies and ensure employees understand and comply with them
 Implement effective sourcing, screening and interviewing techniques
 Assess training needs and coordinate learning and development initiatives for all employees
 Monitor HR department’s budget
 Act as the point of contact regarding labor legislation issues
 Manage employees’ grievances
 Create and run referral bonus programs
 Review current HR technology and recommend more effective software (including HRIS and ATS)
 Measure employee retention and turnover rates
 Oversee daily operations of the HR department

Job Type: Full-time
Salary: ₹15,000.00 - ₹22,000.00 per month
Schedule:

 Rotational shift

Ability to commute/relocate:

 Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)

Experience:

 HR: 1 year (Preferred)
 total work: 1 year (Preferred)

Language:

 English (Preferred)

Speak with the employer+91-XXXXXXXXXX",,"bac513bb2846ea33",,"Delhi, Delhi","HR Executive","Just posted",,,"₹15,000 - ₹22,000 a month","2023-02-19T12:28:14.996Z","https://www.indeed.co.in/company/Luxe-Opera-Hotels-and-Resorts-pvt-ltd/jobs/Human-Resource-Executive-bac513bb2846ea33?fccid=9fa8a6d9516a3555&vjs=3"
"Bhakkar marbles Pvt ltd",,"We need a human resource manager who looks after hiring of employees. Also he would be responsible for attendance and pay of employees
Job Type: Full-time
Salary: ₹15,000.00 - ₹30,000.00 per month
Schedule:

 Day shift
 Morning shift

Ability to commute/relocate:

 New Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)

Education:

 Bachelor's (Preferred)

Experience:

 Payroll: 1 year (Preferred)
 HR: 1 year (Preferred)

Speak with the employer+91-XXXXXXXXXX",,"6c03c51cc062c5f4",,"New Delhi, Delhi","Human Resources Manager","Just posted",,,"₹15,000 - ₹30,000 a month","2023-02-19T12:28:15.087Z","https://www.indeed.co.in/company/Bhakkar-marbles/jobs/Human-Resource-Manager-6c03c51cc062c5f4?fccid=9c0f073bf4596cea&vjs=3"
"ICICI Prudential Life","https://d2q79iu7y748jz.cloudfront.net/s/_logo/43eada751be087644fa625eb4ad2dcd1"," 
 Recruitment & selection for regional staffing 
 Employee on boarding and induction 
 Implement policies, drive organization agenda 
 Stakeholder management 
 Partner with line managers in respective regions for Performance management process 
 HR Projects, analytics, designing local interventions 
 Handle employee grievances / disciplinary actions 
 Manage end to end employee life cycle 
 
Who can apply :
 
 
 Post Graduate from a reputed institution (Majors HR) 
 Between age group of 23-26 years 
 Has work experience of 1-3 years after post graduation 
 Should be open to work in Mumbai, Bangalore, Delhi, Pune, Chandigarh, Lucknow, Jaipur, Indore, Kolkata 
","https://in.indeed.com/applystart?jk=ee0fd8a84b7bf474&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKkAqe0LbLzXz6uuFPgR_wkfkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=7a1fae7597b6aecc&assa=5367","ee0fd8a84b7bf474",,"Bengaluru, Karnataka","Manager I - HR","Just posted","4","1391",,"2023-02-19T12:28:15.558Z","https://www.indeed.co.in/rc/clk?jk=ee0fd8a84b7bf474&fccid=254a090653692c9b&vjs=3"
"Anushka Associates",,"Urgent requirement for HR Payroll Executive
Location : Porur, Chennai
JD
· Daily duty chart entry in ERP
· Time Sheet and Employees’ documents follow up and uploading documents in ERP.
· Collecting documents and creating employees’ profile.
· Resolves attendance discrepancies
· Grievances redressal related to salary and daily attendance
· Fortnighthly and Monthly Payroll Process
· Assist HR and Admin. Team as and when required
· Compare salary and OT with previous months and find reason for difference if any
Requirements :
Qualification : Any Graduate
Skills : HR, Payroll and MS Excel
Experience : 3 to 5 years in Payroll Processing.
Job Type: Full-time
Salary: ₹12,000.00 - ₹20,000.00 per month
Schedule:

 Day shift

Application Question(s):

 Your notice period, current location and Expected Salary

Education:

 Bachelor's (Preferred)

Experience:

 Payroll: 3 years (Preferred)
 Human resources: 2 years (Preferred)

Speak with the employer+91-XXXXXXXXXX",,"09c8ba0565db5b9f",,"Chennai, Tamil Nadu","HR Payroll Executive","Just posted",,,"₹12,000 - ₹20,000 a month","2023-02-19T12:28:15.929Z","https://www.indeed.co.in/company/Anushka-Associates/jobs/Human-Resource-Payroll-Executive-09c8ba0565db5b9f?fccid=eb2739a02e2621a8&vjs=3"
"Aries Care Consulting",,"Must be highly proficient in MS Office
Previous Talent Acquisition and/or Campus Recruiting experience preferred but not required
Be pursuing a degree related to the field (Actuarial Science, Mathematics, Statistics)
Graduate with a Bachelor's or Master's
Constantly changing priorities
admin and others
Earning while Learning
stipend : 2k to 4k plus employment opportunity
Job Types: Full-time, Regular / Permanent
Schedule:

 Day shift

Supplemental pay types:

 Performance bonus

Ability to commute/relocate:

 Lucknow, Uttar Pradesh: Reliably commute or planning to relocate before starting work (Required)

Expected Start Date: 24/02/2023",,"2f9e628b6a7b11af",,"Lucknow, Uttar Pradesh","Intern HR Recruiter & Admin","Just posted",,,,"2023-02-19T12:28:16.202Z","https://www.indeed.co.in/company/Aries-Care-Consulting/jobs/Intern-Human-Resource-Recruiter-Admin-2f9e628b6a7b11af?fccid=f81d1641011cd4a4&vjs=3"
