"company","companyLogo","description","externalApplyLink","id","jobType","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"AT&T","https://d2q79iu7y748jz.cloudfront.net/s/_logo/51dfd3d3a8ee4a2d5c16cdf78fcd6274","
 
  Experienced data analyst position that uses technical skills to analyze data in response to new business requests and identify and resolve data discrepancies across multiple data sources and/or applications. Responsible for providing direction to other offshore resources to ensure a balance of workload. Works directly with the client user community and business analysts to define and document data requirements for data integration and business intelligence solution. Determines and documents data mapping rules for the movement of medium to high-complexity data between applications. Provides recommendations to Practitioners and clients as a result of the analysis. Active collaboration with Practitioners and clients on scope and delivery plan for requests and projects. Adheres to and promotes the use of data administration standards. and analyzes data from specific applications, systems, and/or databases to create reports and provide recommendations based on the analysis of the data. Investigates and resolve data issues across platforms and applications, including discrepancies in definition, format, and function. Creates and populates meta-data into repositories. May also create data flow diagrams and process models and integrates models across functional areas and platforms. May be responsible for employing data analysis skills to achieve data synchronization, redundancy elimination, source identification, data reconciliation, and problem root cause analysis.
   
   Roles and Responsibilities
   
  
   Primary role: Interprets and drives critical Consumer ecosystem data management for Change Management and Risk Management data/functions for over 400 applications and 40 AVP teams spanning across executive leadership organizations.
   Interpretation of business requirements/needs to drive queries and analysis of data from specific applications, systems, and/or databases (ex: Teradata, Vertica, Hadoop, Palantir) Consult with cross-functional teams on matters relating to statistics, knowledge discovery, data modeling, and analytics.
   Provide recommendations and perform techniques/approaches for root cause analysis for data discrepancies and quality issues based on inquiries from clients and the data platform team.
   Performs data selection, extraction, and quality checks for ad-hoc analysis and data files for client inquiries and broader team efforts.
   Provide support for other resources and maintain the balance of work and priorities to ensure delivery to meet commitments.
   Active collaboration with Practitioner and client teams around scope, analysis, and delivery plans.
   Create and present data analysis summaries that draw inferences, identify insights, and outline recommendations.
   Defines and documents business and technical metadata and data lineage.
   Create self-service reporting and analytics in various BI and visualization tools (ex: PowerBI/ Tableau / MicroStrategy).
   Determines and defines data flows and process flows supporting client needs.
  
 
 
 
   Experience: Typically requires overall 5 + years’ experience With a minimum of 2 -4 years of relevant experience. Data Analytical /Science / Machine Learning certification(s) preferred
   
   Skill Set requires:
   
  
   5+ years’ experience in data analytics, data warehousing, root cause analytics, and requirements documentation.
   4+ years’ experience with Snowflake, Hadoop and fluent with SQL and data analysis techniques.
   4+ Years’ Experience in Power BI, Power Automate, and Visualization tools
   3+ years of Experience in Azure with cloud tools, Services, and Deep Data platform
   Expertise in Python and well-versed in Data analytical frameworks
   Expertise in Change and Incident data analysis
   Experience delegating and managing work across delivery teams to meet priorities.
   Experience in client engagements, interpreting client’s business needs, and providing recommendations for data solutions
   Strong financial acumen and analysis experience to determine business impacts for the application of the statistical solution
   Experience in presentation design, development, delivery, and communication skills to present analytical results and recommendations for action-oriented data-driven decisions and associated operational and financial impacts.
   
   Flexible to work from 2:00 PM to 11:00 PM IST work timings
   
   Qualifications
   
   Education: Preferred Bachelor of Science in Computer Science, Statistics, Math, or Scientific Computing; Data Science or Machine Learning nano degree; or equivalent experience value add
 
","https://in.indeed.com/applystart?jk=2567a216d4af7021&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKkbiJwZy9OdYGdgoZKBoT0RkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=1910761a68642496&assa=2893","2567a216d4af7021",,"Hyderabad, Telangana","SPECIALIST, DATA ANALYTICS","Today","3.7","43942",,"2023-02-19T11:40:13.064Z","https://www.indeed.co.in/rc/clk?jk=2567a216d4af7021&fccid=25b5166547bbf543&vjs=3"
"ICICI Prudential Life","https://d2q79iu7y748jz.cloudfront.net/s/_logo/43eada751be087644fa625eb4ad2dcd1","Roles and responsibilities:
 1. Data processing, cleaning and validating the integrity of data to be used for analytics 

 2. Data extraction using valuable data sources 

 3. Perform initial investigation and exploratory data analysis 

 4. Analyzing large amount of data to find patterns and solution 

 5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc 

 6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth. 

 7. Propose solutions and strategies to tackle complex business problems","https://in.indeed.com/applystart?jk=442ad7cc38a6f7b8&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKmWvRt9eOFCqYdfkiuggf2EkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=66c822ae5e0ea811&assa=2924","442ad7cc38a6f7b8",,"Mumbai, Maharashtra","Data scientist","Just posted","4","1391",,"2023-02-19T11:40:13.103Z","https://www.indeed.co.in/rc/clk?jk=442ad7cc38a6f7b8&fccid=254a090653692c9b&vjs=3"
"ICICI Prudential Life","https://d2q79iu7y748jz.cloudfront.net/s/_logo/43eada751be087644fa625eb4ad2dcd1","Roles and responsibilities:
 1. Data processing, cleaning and validating the integrity of data to be used for analytics 

 2. Data extraction using valuable data sources 

 3. Perform initial investigation and exploratory data analysis 

 4. Analyzing large amount of data to find patterns and solution 

 5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc 

 6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth. 

 7. Propose solutions and strategies to tackle complex business problems","https://in.indeed.com/applystart?jk=e0fe53f38f84e7bd&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKlPjOhNUkrDn-_e8wvj13sHkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=90aacc61293070e7&assa=2967","e0fe53f38f84e7bd",,"Mumbai, Maharashtra","Data scientist - Lead","Just posted","4","1391",,"2023-02-19T11:40:13.172Z","https://www.indeed.co.in/rc/clk?jk=e0fe53f38f84e7bd&fccid=254a090653692c9b&vjs=3"
"TMI Group IN",,"
 Job Information 
 
 
  
   
    Salary 
    ₹ 1000000 - 1600000 
   
  
  
   
    No. of Openings 
    1 opening 
   
  
  
   
    Required Skills : 
    ""Machine Learning"",Artificial intelligence 
   
  
  
   
    Job Experience : 
    1 - 4 years 
   
  
  
   
    Job Qualifications 
    Bachelor's Degree
   
 
 


 Job Description 
 JD – Bot NLP Analyst 
  Client is looking for a Bot NLP Analyst to build content for Chatbot and Voice Bot. 
  Location – Hyderabad, Bangalore, Chennai, Mumbai 
  Responsibilities: 
 
  Build content for chatbot/voice bot and define an efficient process for identifying targeted follow-up questions based on keywords. 
  Research and analyze the scope of intent within the linguistic and technical dimensions of chatbot’s capabilities 
  Work with developers, product, and engineering teams to maximize conversions while ensuring a great user experience. 
  Understand how Natural Language Processing and Machine Learning are integral to chatbot development. 
  Analyze chat history and optimize intents. 
  Experiment with different content formats and styles to deliver unique user experiences. 
  Drive continual content refinement and improvement through content experiments, user feedback, and analysis of performance metrics. 
  Create conversational flows to suit the requirements. 
  Train the chatbot accordingly to understand the linguistic variations of diverse types of users.
 

","https://in.indeed.com/applystart?jk=363b96425a82d12d&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKlnhMMwTHaE24AVM-5J85R0kN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=83e65d2cd675c474&assa=3343","363b96425a82d12d",,"Hyderabad, Telangana","Bot NLP Analyst","1 day ago",,,"₹10,00,000 - ₹16,00,000 a year","2023-02-19T11:40:13.477Z","https://www.indeed.co.in/rc/clk?jk=363b96425a82d12d&fccid=68d10d8c57f0b648&vjs=3"
"Shairu Gems Diamonds PVT.LTD.",,"Sr. Data Analyst,
Shairu Gems Diamonds PVT. LTD.
Plot No. 166/A-2 & 170/C, Opp. SMC
Swimming Pool, Vastadevdi Road
Katargam, Surat-395004
Gujarat
Job Summary
Excellent opportunity for graduates and Postgraduates who have good knowledge on Microsoft Excel, Advance Python, Machine Learning, R studio.
Responsibilities and Duties1. Good Knowledge on excel tools like V Look up, Pivot tables, & Conditional Formatting.2. Interpreting and analyzing data using Excel tools.3. Developing reports and analysis.
Job details:
Job Types: Full-time
Salary: 25,000 – 35,000 /month
Timing: 8:30 to 6:00 (Monday to Saturday)
Lunch Service also available.
Education:

 Graduates & Post Graduates.
 Freshers can apply.

Gender: Male/Female
Job Types: Full-time, Fresher
Salary: ₹25,000.00 - ₹35,000.00 per month
Benefits:

 Food provided
 Leave encashment
 Provident Fund

Schedule:

 Morning shift

Supplemental pay types:

 Overtime pay
 Yearly bonus

Ability to commute/relocate:

 Surat, Gujarat: Reliably commute or planning to relocate before starting work (Required)

Experience:

 total work: 1 year (Preferred)
",,"215ece39050fb3f5",,"Surat, Gujarat","Senior Data Scientist","Today",,,"₹25,000 - ₹35,000 a month","2023-02-19T11:40:14.794Z","https://www.indeed.co.in/company/Shairu-Gems-Diamonds-PVT.LTD./jobs/Senior-Data-Scientist-215ece39050fb3f5?fccid=218a357af53033aa&vjs=3"
"JPMorgan Chase Bank, N.A.","https://d2q79iu7y748jz.cloudfront.net/s/_logo/2c12bfeda1012463f8afad6f709c8180","
 You are a strategic thinker passionate about driving solutions using python. You have found the right team. 
  
  As a Data Scientist with the Chief Data Office, you will shape the future of the Chief Administrative Office and its businesses by applying world-class machine learning expertise. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Finance, Supplier Services, Data Security intelligence program, Global Real Estate and Customer Experience. You will use data and analysis to identify and solve our divisions biggest challenges and develop state-of-the art machine learning models to solve real-world problems. We have evolved from our 'startup' roots to become a credible strategic partner trusted by division wide leadership and are expanding now. By joining JP Morgan Chief Data Office (CAO), you will become part of a world-class Data science community dedicated to problem solving and career growth in ML/AI discipline and beyond. 
  
  Job Responsibilities:
  
 
  Product Owner : Develop and own ML products to drive business outcomes and influence your strategic partners, in a highly collaborative environment 
  Research & Learning : You must have a strong passion for machine learning and invest independent time towards learning, researching, and experimenting with new innovations in the field. 
  Problem-Solving: Be a s trategic thinker with demonstrated problem-solving skills using Machine Learning Skills. 
 
  
 Required Qualification, capabilities and skills: 
  
 
  Master's in quantitative field (Computer Science, Mathematics, Statistics, or ML) 
  6-8 years industry experience in data science / applied ML model development (must have) 
  Strong knowledge and experience with Traditional ML, Deep Learning, NLP, time-series predictions, or recommendation systems (must have) 
  Excellent python coding and algorithm skills (must have) 
  Experience with data visualization techniques and software 
  Foundational Statistics knowledge 
 
 Preferred Qualification, capabilities and skills: 
 
  Experience in driving Artificial Intelligence adoption 
  Experience with Data Querying (e.g., SQL, big data), A/B Testing 
  Experience with Cloud based deployment (e.g., aws, azure), Engineering background 
  Experience with python frameworks (e.g., pyspark, django, Flask, Bottle) 
  Experience in financial markets or services firm 
 
 JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. 
 We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
","https://in.indeed.com/applystart?jk=4c1d69deeb7afbaa&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKnuKj-_iVV2GLyimjJ8IHvckN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=722085627f5ccec4&assa=4610","4c1d69deeb7afbaa",,"Mumbai, Maharashtra","Data Scientist - Vice President","1 day ago","3.9","18023",,"2023-02-19T11:40:15.116Z","https://www.indeed.co.in/rc/clk?jk=4c1d69deeb7afbaa&fccid=c46d0116f6e69eae&vjs=3"
"Fidelity International","https://d2q79iu7y748jz.cloudfront.net/s/_logo/567a8077ccee4144640f190762b35dc2","
 
  About the Opportunity
  Job Type: Permanent
  Application Deadline: 28 February 2023
 
 
   Title: Senior Specialist - Data Science
 
 
   Department: Tech- Analytics
 
 
   Location: Gurgaon
 
 
 
   We’re proud to have been helping our clients build better financial futures for over 50 years. How have we achieved this? By working together - and supporting each other - all over the world. So, join our Tech- Analytics team and feel like you’re part of something bigger.
 
 
   Department Description
 
 
   Data Value team drives the renewed focus of extracting value from Fidelity’s data for business and client insights and working as one voice with the business, technology, and data teams. The team’s vision is to create measurable business impact by leveraging technology and utilising the skills to generate valuable insights and streamline engagements. The Data Science function within Data Value supports Fidelity International’s Sales, Marketing, Propositions, Risk, Finance, Customer Service and HR teams across the globe. The key objectives of the function are:
 
 
   To develop deep customer insights for our businesses helping them segment and target customers more effectively
   To develop a fact-based understanding of sales trends and identify actionable sales growth opportunities for each of our sales channels
   To understand customer preferences in terms of products, service attributes and marketing activity to help refine each of these
   To help develop new services lines e.g. develop customer analytics for key IFAs, DC Clients, Individual clients etc.
   To develop market and competitive intelligence in our key markets to help shape our business planning in those markets
 
 
   The function works directly with business heads and other senior stakeholder’s stakeholders to identify areas of analytics, define problem statements and develop key insights.
 
 
 
   Purpose of the Role
 
 
   You will be expected to take a leading role in developing the Data Science and Advanced Analytics solutions for our business. This will involve:
 
 
   Engaging with the key stakeholders to understand Fidelity’s sales, marketing, client services and propositions context
   Implement advanced analytics solutions on On-Premises/Cloud platforms, develop proof-of-concepts and engage with internal and external ecosystem to progress the proof of concepts to production.
   Engaging and collaborating with different other internal teams like Data engineering, DevOps, technology team etc for development of new tools, capabilities, and solutions.
   Maximize Adoption of Cloud Based advanced analytics solutions: Build out sandbox analytics environments using Snowflake, AWS, Adobe, Salesforce.
 
 
 
   Key Responsibilities
 
 
   Developing and Delivering Data Science solutions for business (40%)
 
 
   Partner with internal (FIL teams) & external ecosystem to design and deliver advanced analytics enabled Data Science solutions
   Create advanced analytics solution on quantitative and text data using Artificial Intelligence, Machine Learning and NLP techniques.
   Create compelling visualisations that enable the smooth consumption of predictions and insights for customer benefit
 
 
   .Stakeholder Management (30%)
 
 
   Works with channel heads/stakeholders and other sponsors understand the business problem and translate it into appropriate analytics solution.
   Engages with key stakeholders for smooth execution, delivery, and implementation of solutions
 
 
   Adoption of Cloud enabled Data Science solutions: (20%)
 
 
   Maximize Adoption of Cloud Based advanced analytics solution
   Build out sandbox analytics environments using Snowflake, AWS, Adobe, Salesforce
   Deploy solutions in productions while adhering to best practices involving Model Explainability, MLOps, Feature Stores, Model Management, Responsible AI etc
 
 
 
   Collaboration and Ownership (10%)
 
 
   Sharing of knowledge, best practices with the team including coaching or training in some of deep learning/machine learning methodologies. Provides mentoring, coaching, and consulting advice and guidance to staff, e.g. analytic methodologies, data recommendations
   Takes complete independent ownership of the projects and the initiatives in the team with the minimal support
 
 
 
   Experience and Qualifications Required
 
 
 
   Qualifications:
 
 
 
   Engineer from IIT/Master’s in field related to Data Science/Economics/Mathematics (Tier 1 Institutions)/ M.B.A from tier 1 institutions
 
 
 
   Experience & Key Competencies
 
 
   Overall, 5 to 12 years of experience in Data Science roles
   Ability to engage in discussion with senior stakeholders on defining business problems, designing analyses projects, and articulating analytical insights
   Strong working experience in building models for classification, regression, clustering, forecasting, recommendation etc.; Working knowledge of advanced algorithms in Deep Learning will be an advantage
   Hands-on experience with popular development frameworks like Scikit-learn / TensorFlow / PyTorch.
   Working knowledge of NLP model development would be an added advantage; Exposure to Transfer Learning and pretrained model is desired
   Strong experience of developing AI & Machine Learning solutions on cloud platforms like AWS / Azure.
   Good understanding of SQL query development is desired; Familiarity with data platform like SnowFlake would be an added advantage.
 
 
 
   Feel rewarded
 
 
   For starters, we’ll offer you a comprehensive benefits package. We’ll value your wellbeing and support your development. And we’ll be as flexible as we can about where and when you work – finding a balance that works for all of us. It’s all part of our commitment to making you feel motivated by the work you do and happy to be part of our team. For more about our work, our approach to dynamic working and how you could build your future here, visit careers.fidelityinternational.com.
 
 
 
   For more about our work, our approach to dynamic working and how you could build your future here, visit careers.fidelityinternational.com.
 
","https://in.indeed.com/applystart?jk=4d05c4cd8acab8fd&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKnM6GNC_DKZ2I7xzkghXkOqkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=2fe8916ec165c79a&assa=5162","4d05c4cd8acab8fd",,"Gurgaon, Haryana","Senior Specialist - Data Science","Today","3.9","138",,"2023-02-19T11:40:15.276Z","https://www.indeed.co.in/rc/clk?jk=4d05c4cd8acab8fd&fccid=b968b58ad5fb8d16&vjs=3"
"Growth Hub Consultants",,"
 
  Job Overview
   We are hiring a qualified candidate for a Data Analyst role in our company. You will be responsible for data mining and analysis. 
  You will be conducting an analysis on available data and preparing a report of the same. These reports will further help us in taking appropriate decisions and provide direction to make better business decisions. This job requires you to keep track of data to devise policies and procedures. In this role, you are expected to interpret various data sets and develop business strategies.
   Outstanding technical skills are a must for this role. You will have to analyze data from various data sources and compile the findings in comprehensive reports.
   If you have the potential to translate quantitative data and express it in terms of performance and future prospects, we would like to speak to you.
  
 
   Responsibilities
  
    Extract, scrutinize and sort out relevant data
    Assess and monitor data quality with the help of initial test runs
    Establish automated data processes and track key performance indicators (KPI)
    Record business requirements and conduct surveys using the available data
    Interpret data using various data analysis tools
    Generate data graphs, visualization, and dashboards
    Draw inferences and provide insights in the form of reports or presentations
    Stay updated about best data science practices and techniques
  
  
 
  Requirements
  
    Bachelor’s degree in Computer Science, Statistics, Business Management or related field
    Master’s degree in Data Science will also be considered
    2-3 years of experience as Data Analyst or Data Scientist or a similar role
    Hands on experience in Data Modelling, Data Mining and Design Development
    Outstanding knowledge of data analytics
    Sound knowledge of programming languages such as SQL, Oracle, JavaScript etc.
    Proficient in statistical packages like SPSS, SAS etc.
    Strong written and verbal communication skills
    An analytical thinker with ability to multitask
    Excellent project management skills
    Should be a team player
  
 
",,"e21681272008d7ce",,"New Delhi, Delhi","Data Analyst","Today",,,,"2023-02-19T11:40:15.856Z","https://www.indeed.co.in/rc/clk?jk=e21681272008d7ce&fccid=49b7b2ce845ef5d7&vjs=3"
"EY","https://d2q79iu7y748jz.cloudfront.net/s/_logo/f8f07d3027940d5ad96857e268478674","
 At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.
 
  Manager – Data Science Data and Analytics team is a multi-disciplinary technology team delivering client projects and solutions across Data Management, Visualization, Business Analytics and Automation. The assignments cover a wide range of countries and industry sectors.
  The opportunity We are looking for a Manager – Data Science, proficient in Machine Learning and Python Programming will be responsible for developing and delivering solutions applying Machine Learning and other Advanced Analytics techniques which will be used to implement the EY SaT mergers and acquisition methodologies.
  A Data Scientist & Information Analyst at EY:
 
   Uses scientific methods and technologies to analyse data, obtain knowledge and insights from the data and develop models and solutions that deliver value to the business. Creates cognitive services involving complex algorithms that collect data in a wide range of formats to automate processes, recommend actions and take decisions that help achieve a goal. Takes and processes data from various sources to analyse it and provide value through insights, reporting and data visualization techniques. Works with other Information Management & Analysis professionals, the program team, management and stakeholders to design and build analytics solutions in a way that will deliver business value.
   Key Skills Deep Learning, Image Processing and Analysis, Machine Learning, Natural Language Processing & Generation, Speech and Audio Processing and Analysis, Computational Thinking and Programming, Data Analysis and Interpretation, pricing optimization, trade promotion optimization, assortment modelling, marketing & sales analytics, Mathematics, Statistics & Operations Research, Problem solving / critical thinking, Analytical Thinking, Client Handling & Communication, customer analytics, customer segmentation, churn analytics, survival modelling, cohort analysis
 
 
  Your key responsibilities
 
   Develop, Review and implement Solutions applying advanced Data Analytics techniques including but not restricted to Machine Learning, Deep Learning, Big Data and Visualization
   Understand, analyze and assess information to build strong KPI’s related to customer & revenue growth management.
   Develop and implement pricing optimization, trade promotion optimization, assortment Modelling.
   Develop and implement customer analytics, churn, retention models.
   Develop and implement Linear and Non-Linear Optimization Models; Present Scenario study
   Troubleshoot, isolate and remediate model errors.
   Work and manage large to mid-size projects, and ensure smooth service delivery on assigned products, engagements and/or geographies.
   Work with project managers to study resource needs and gaps and devise alternative ways forward.
   Execute analytical experiments to help solve problems across sales and marketing domains.
   Provide expert reviews for all projects within the assigned subject.
 
  . Skills and attributes for success
 
   Able to work creatively and systematically in a time-limited, problem-solving environment
   Loyal and reliable with high ethical standards
   Flexible, curious and creative, open for new things and able to propose innovative ideas
   Good interpersonal skills
   Team player, open, pleasure to work with and positive in a group dynamic
   Intercultural intelligence and experience of working in more than one country and/or multi-cultural teams with distributed delivery experience
   Ability to manage multiple priorities simultaneously to meet tight deadlines and drive projects to completion with minimal supervision
 
 
  To qualify for the role, you must have
 
   Expert knowledge of CPR domain to utilize analytical, statistical, and programming skills to collect, analyze, and interpret large data sets.
   Experience on Projects focusing on customer, Market and Sales Analytics.
   Conceptually Strong in areas of Linear and Non-Linear Regression, Statistics, Time Series Forecasting, Linear and Non-Linear Optimization
   Experience of guiding teams on Projects focusing on Data Science and Communicating results to clients
   Familiar in implementing solutions in Azure Cloud Framework
   Excellent Presentation Skills
   8 - 14 years of relevant work experience in developing and implementing Machine Learning Models- experience of deployment in Azure is preferred
   Experience in application of Linear and Non-Linear Regression, Statistics, Time Series Forecasting, Linear and Non-Linear Optimization
   Experience in working with Natural Language Processing Techniques
   Proficient in SQL
   Minimum of 5-8 years of programming in Python
   Experience with the software development life cycle (SDLC) and principles of product development, such as installation, upgrade and namespace management
   Willingness to mentor team members
   Solid thoughtfulness, technical and problem-solving skills
   Excellent written and verbal communication skills
 
 
  Ideally, you’ll also have
 
   Ability to think strategically/end-to-end with result-oriented mindset
   Ability to build rapport within the firm and win the trust of clients
   Willingness to travel extensively and to work on client sites / practice office locations
 
 
  What we look for
 
   A Team of people with commercial acumen, technical experience and enthusiasm to learn new things in this fast-moving environment
   An opportunity to be a part of market-prominent, multi-disciplinary team of 1400 + professionals, in the only integrated global transaction business worldwide.
   Opportunities to work with EY SaT practices globally with prominent businesses across a range of industries
 
 
  What we offer EY Global Delivery Services (GDS) is a dynamic and truly global delivery network. We work across six locations – Argentina, China, India, the Philippines, Poland and the UK – and with teams from all EY service lines, geographies and sectors, playing a vital role in the delivery of the EY growth strategy. From accountants to coders to advisory consultants, we offer a wide variety of fulfilling career opportunities that span all business disciplines. In GDS, you will collaborate with EY teams on exciting projects and work with well-known brands from across the globe. We’ll introduce you to an ever-expanding ecosystem of people, learning, skills and insights that will stay with you throughout your career.
 
   Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next.
   Success, as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way.
   Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs.
   Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs.
 
 
  EY | Building a better working world
   EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.
   Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.
   Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.
","https://in.indeed.com/applystart?jk=60575848728e2ef5&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKl0DqRxYHekffEiCjpIOMr4kN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=529ee3d59925cae4&assa=6063","60575848728e2ef5",,"Bengaluru, Karnataka","SaT_DnA_Manager (Data Science)","Today","3.9","8726",,"2023-02-19T11:40:16.237Z","https://www.indeed.co.in/rc/clk?jk=60575848728e2ef5&fccid=1544766d4c2915b0&vjs=3"
"AT&T","https://d2q79iu7y748jz.cloudfront.net/s/_logo/51dfd3d3a8ee4a2d5c16cdf78fcd6274","
 Join AT&T and reimagine the communications and technologies that connect the world. We’re committed to those who seek to discover the undiscoverable and dare to disrupt the norm. Bring your bold ideas and fearless risk-taking to redefine connectivity and transform how the world shares stories and experiences that matter. When you step into a career with AT&T, you won’t just imagine the future – you’ll create it. 
 As a Senior Data Scientist, you will: 
 
  Translate business problems to insights and codes solutions using the following typical workflow; data extraction, cleansing, feature engineering, exploratory data analysis, model selection/creation, hyper-parameter tuning, model interpretation, model retraining, business process and/or system implementations, high level proof of concept and trials, visualization, deployment to production, post deployment ML ops monitoring/diagnosis/resolutions. 
  Develop solutions for customer care which improve first-call-resolution KPIs. Example solutions include conversation intelligence/transcript analysis (supervised & unsupervised, turn-level) to uncover process, tool or skill training insights as well as propensity modeling to support call routing and on-screen agent support. 
  The data models created may be used internally and by business units to solve business problems, create income generating models, or to identify improved business processes for cost savings opportunities. Designs, builds, and analyzes large (e.g. 100s of Terabytes or higher as technology advances) and complex data sets from various structured and unstructured sources while thinking strategically about data use and data design. 
  Validate proof of concepts in a production environment, protect against selection and/or emergent bias and to allow simultaneous trials without cross-trial interference. 
  Organize and communicate insights from analysis of large data sets in an intuitive manner to non-technical business partners. 
  Implement AI solutions within the target AI architecture led by the Data Council/Data Review Board.
 
  
 
  
  Proficient English Language Skill (Verbal and Writing). 
  Proficient in statistical design of experiments. 
  Proficiency in algorithm categories such as Supervised Learning, Unsupervised Learning, Optimization Algorithms, Deep Learning, AI-Computer Vision, Natural Language Processing, Deep Reinforcement Learning, Search Algorithms, AI- Knowledge Graphs. 
  Coding proficiency required in at least one data science language (Python, R, Scala, and SQL) 
  Expertise with modern ML packages and libraries (SciKitLearn, Pandas, PyTorch, TidyVerse, Tensorflow, Keras, Shiny, and/or AutoML tools). 
  Proficiency in cloud AI technologies. 
  Education: Preferred Master’s degree from an accredited University in a Quantitative field of study such as Data Science, Math, Statistics, Engineering or Physics. 
  Experience: Typically requires 5-8 years 
 
 Ready to join our team? Apply today!
","https://in.indeed.com/applystart?jk=2e05e0ea2fb79de1&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKmHlRG5fBS0MFeUgQIBzEiEkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=7bb39ec38b543d7d&assa=6426","2e05e0ea2fb79de1",,"Bengaluru, Karnataka","Senior Data Scientist","Today","3.7","43942",,"2023-02-19T11:40:16.556Z","https://www.indeed.co.in/rc/clk?jk=2e05e0ea2fb79de1&fccid=25b5166547bbf543&vjs=3"
