"company","companyLogo","description","externalApplyLink","id","jobType","location","positionName","postedAt","rating","reviewsCount","salary","scrapedAt","url"
"Unikwork","https://d2q79iu7y748jz.cloudfront.net/s/_logo/a38d2232528abf092987d8bfdd58f03f","
 
  
   
    
     
      
       
        Qualification
        
       BE (CSE/IT)/ B.TECH(CSE/IT)/ MCA/ ME(CSE/IT)/ M.SC/ M.TECh(CSE/IT) 
      
      
       
        Location
        
       Vadodara 
      
      
       
        Salary range
        
       Upto 50k 
      
      
       
        Experience/Seniority level
        
       Freshers to 3 years 
      
      
       
        Job Time
        
       Full-time 
      
     
     Requirements / Your Skills 
     
      
       Design and build applications for the iOS platform 
       Ensure the performance, quality, and responsiveness of applications 
       Collaborate with a team to define, design, and ship new features 
       Proficient with Objective-C or Swift and Cocoa Touch depending upon the project requirements 
       Experience with iOS frameworks such as Core Data, Core Animation, etc 
       Experience with offline storage, threading, and performance tuning 
       Familiarity with RESTful APIs to connect iOS applications to back-end services 
       Knowledge of other web technologies and UI/UX standards 
       Understanding of Apple’s design principles and interface guidelines
      
     
    
   
  
 
","https://in.indeed.com/applystart?jk=15ea3bf6ab2218b6&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKlthpSdezrKScU-KLvNFfYIkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=a1fef3c720210d9e&assa=6698","15ea3bf6ab2218b6",,"Vadodara, Gujarat","iOS Developer","Just posted",,,"₹50,000 a month","2023-02-19T11:49:27.193Z","https://www.indeed.co.in/rc/clk?jk=15ea3bf6ab2218b6&fccid=1e3adbaf112828a2&vjs=3"
"TheMaverics Technologies",,"

 
  
   Job Summary
    SharePoint Online developers design and develop SharePoint websites using SharePoint Online or web UI developing tools. SharePoint is a highly configurable document management and storage system that integrates with Microsoft 365 9previously known as Office365). SharePoint developers are tasked with creating customized SharePoint solutions for front-end use.
    Experience
    6 Months – 2 Years
    Location
    Mumbai / Hybrid / Work from Home
    Job Category
    Full Time Job, IT, Cloud engineer
    Job Description
    Responsibilities
   
     Design, develop, and support solutions within the SharePoint Online platform using out-of-the-box features and capabilities.
     Design, develop, and deploy corporate intranet site pages on SharePoint Online.
     Implement business solutions with Microsoft Power Platform and SharePoint Online
     Work with team members to achieve goals for the project.
     Document the activities and operational procedures
   
    Requirements
   
     Development experience in Microsoft 365 technologies including SharePoint Online and the Power Platform (PowerApps, Power Automate, Power BI)
     SharePoint/Power Platform related certification
     Troubleshooting abilities
     Ability to learn new emerging technologies
     Good communication skills (written as well as spoken)
   
    Qualification
   
     Min 6 months and Max 1.5 years of experience with respect to Microsoft 365 technologies.
     Good knowledge of Power Platform and related emerging Technologies.
     BE, BSc in Computer Science, or relevant field.
   
    Microsoft Certifications
    SharePoint related certifications and PL-900 would be an added advantage
    Certification is not mandatory, and TMTPL can provide training for the same.
    Salary
    2.5 – 4 Lakhs Per Annum
  
 

","https://in.indeed.com/applystart?jk=09fc5d766ce5a050&from=vj&pos=bottom&mvj=0&spon=0&sjdu=CC5XBQhPn3baJP1eRMcAVqN2w7iSWaCPAMKaVYvfc9A0Nm_SJd9fWSAsMFSKnXIb&vjfrom=serp&astse=f963b403f46ddc81&assa=7128","09fc5d766ce5a050",,"Mumbai, Maharashtra","SharePoint Online Developer","Just posted",,,"₹2,50,000 - ₹4,00,000 a year","2023-02-19T11:49:27.786Z","https://www.indeed.co.in/rc/clk?jk=09fc5d766ce5a050&fccid=86e17e1c2663309f&vjs=3"
"Xynosoft Solutions",,"
 
  Job Description 
  Xynosoft Solutions looking for a Hybrid Mobile Developer who will work on developing world-class applications. These apps will run on both Android and iOS and works offline. The Hybrid Mobile Application Developer designs develop and test using web technologies and Ionic framework to deliver high-quality application experiences across multiple mobile platforms. The Hybrid Mobile Application Developer is passionate about enhancing the mobile experiences of users and has a proven ability to deliver hybrid mobile applications that solve real-world business problems. 
 
 
  Roles & Responsibilities: 
  
   Designs and codes features; tests and other hybrid mobile application components to meet the needs of the business 
   Ensures that hybrid mobile applications work well across target platforms 
   Helps other web front-end developers learn how to work on hybrid mobile applications 
   Works closely with mobile developers across the enterprise to share experience and continuously improve our ability to deliver world-class mobile experiences quickly 
   Assists with the UX design of mobile applications 
  
 
 
  Requirements: 
  
   Experience working on agile development teams involved in new product development 
   Very broad and deep application development skills 
   Primarily works hands-on with code 
   Experience developing hybrid mobile applications; with Ionic; Angular; CSS; HTML 5; JavaScript and other broadly used Web development technologies 
   Has delivered awesome 
   hybrid mobile applications that work on both Android and IOS using these technologies 
   Passionate about delivering high quality user experience on mobile devices. Has experience assisting with UX design for mobile 
   Extensive knowledge of mobile APIs and UI standards 
   Bachelor’s degree in a technical discipline or equivalent experience
  
 
","https://in.indeed.com/applystart?jk=a272ad45d6aa9912&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKl8WstBegJOJ9Jlukj2KPuSkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=1df9d59bfc24f408&assa=8840","a272ad45d6aa9912",,"Kochi, Kerala","Hybrid Mobile Developer - IONIC","Just posted",,,,"2023-02-19T11:49:28.987Z","https://www.indeed.co.in/rc/clk?jk=a272ad45d6aa9912&fccid=e4f1da2b61fc68ec&vjs=3"
"Zechrome Technologies",,"

 
  
   
    
     
      
       
        
         Job Description
          The Flutter Developer lead will be located in our Surat and will work closely with our Silicon Valley office. As a front-end developer, you will work on a variety of projects, ranging from internal custom software updates to product development needs for new projects.
          Responsibilities
         
           Design, build, and maintain efficient, reusable, and reliable code
           Work on clients implementation cycle from beginning to end
           Create scalable solutions for business
           Produce clean code
           Develop integrations with 3rd party vendors
           Develop clients deliverables in a timely manner
           Fix bugs and deliver results to team and clients
         
          Key Qualifications
         
           Develop and maintain scalable user interface interfaces for existing and new web pages using HTML5, CSS, and JavaScript frameworks like jQuery, ReactJS, etc.
           Working experience of 3-4 years minimum with the ReactJS and Redux frameworks is a must.
           Total front-end experience should be at least 7 years
           An ability to write code for responsive UI and implement common widgets.
         
          Benefits
         
           You will work with the best brains in Silicon Valley
           Best in Industry Salaries
           You will work directly with clients and LEARN a lot
           You will LEARN the latest concepts and technologies
           Catered weekly lunch and healthy snacks
           Paid holidays
         
        
       
      
     
    
   
  
 

","https://in.indeed.com/applystart?jk=7466b9eb691a7992&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKlJrFobHAH-fN2J5LqFJa4MkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=6ae6fbd8ee06b210&assa=8948","7466b9eb691a7992",,"Surat, Gujarat","Flutter Developer","Just posted",,,,"2023-02-19T11:49:30.194Z","https://www.indeed.co.in/rc/clk?jk=7466b9eb691a7992&fccid=b1c3282fa5a578d1&vjs=3"
"opentext","https://d2q79iu7y748jz.cloudfront.net/s/_logo/7e931b0896c9849d15b6cabe5ae5781e","

 OPENTEXT - THE INFORMATION COMPANY  As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Management.
 
  The Oppurtunity: 
 As a Lead Software Engineer, you will utilize superior knowledge and experience to perform highly complex product design, systems analysis, research, maintenance, troubleshooting and other programming activities. You will drive innovation for both team and product development. 
  You are great at: 
 
  Produce high-quality code according to design specifications.
   Analyze, troubleshoot, and fix highly complex code defects.
   Propose creative solutions or alternatives balancing risk, complexity, and effort to meet requirements.
   Lead software design/code reviews to ensure quality and adherence to company standards.
   Mentor other team members.
   Work across teams and functional roles to ensure interoperability among other products, including training and consultation.
   Participate in the software development process from design to release in an Agile Development Framework.
 
  What it takes: 
 
  Bachelor’s degree in Computer Science or related field
   6+ years of product development experience
   In depth knowledge in Core C, C++/VC++, MFC, COM
   Basic knowledge of OSI, TCP/IP & Networking Concepts
   Experience with socket programming in C/C++
   Knowledge of SSH, HTTPS & Authentication methods like Kerberos
   Exposure towards development on Unix platforms
   Excellent RDBMS experience for any DB 
  Preferably have knowledge of .Net Technologies
   Fundamentally good programming and debugging skills
   Strong hands-on experience with building enterprise applications
   Good experience in Server and Client side technologies
   Excellent knowledge of WebServices
   Contribute to the continual improvement of our agile development processes
   Maintain up-to-date documentation on processes and code.
   Experience working with groups of people across several geographies
   Excellent communication and time management skills
 
 
  OpenText's efforts to build an inclusive work environment go beyond simply complying with applicable laws. Our Employment Equity and Diversity Policy provides direction on maintaining a working environment that is inclusive of everyone, regardless of culture, national origin, race, color, gender, gender identification, sexual orientation, family status, age, veteran status, disability, religion, or other basis protected by applicable laws. Should you require accommodations during the selection process, please contact accommodationrequests@opentext.com.
 
  Subject to applicable laws and regulations, OpenText’s global vaccination policy requires all employees to be fully vaccinated against COVID-19 to enter an OpenText office. Accommodations may be available for specific roles.
","https://in.indeed.com/applystart?jk=0b5d5abf3542fbdb&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKn_q9o93mG4z_eBurQp9l7AkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=8165d5fd6d9e03e7&assa=9009","0b5d5abf3542fbdb",,"Hyderabad, Telangana","Sr. Software Engineer- C++ Developer","Just posted","3.5","490",,"2023-02-19T11:49:30.390Z","https://www.indeed.co.in/rc/clk?jk=0b5d5abf3542fbdb&fccid=c908408e676247d6&vjs=3"
"Unikwork","https://d2q79iu7y748jz.cloudfront.net/s/_logo/a38d2232528abf092987d8bfdd58f03f","
 
  
   
    
     
      
       
        Qualification
        
       BE (CSE/IT)/ B.TECH(CSE/IT)/ MCA/ ME(CSE/IT)/ M.SC/ M.TECh(CSE/IT) 
      
      
       
        Location
        
       Surat, Vadodara 
      
      
       
        Salary range
        
       Upto 50k 
      
      
       
        Experience/Seniority level
        
       Freshers to 3 years 
      
      
       
        Job Time
        
       Full-time 
      
     
     Requirements / Your Skills 
     
      
       Skilled in JavaScript ES6 
       Working on React.js/React Native on new and existing projects 
       Understanding product requirements and specifications 
       Handling large web applications and websites 
       Writing well-designed, testable, and efficient code by using the best software development practices 
       Must have knowledge of building UI in ReactNative, CSS3 
       Understanding of the React Native framework, including its main components, APIs, and libraries 
       A good understanding of Redux 
       Knowledge of basic debugging and testing skills 
       Hands on experience on Android, iOS platforms in creating Hybrid / Native applications 
       Should know common approaches to optimize app performance 
       A good understanding of the languages used for native app development such as Objective-C, Java, Swift, and Kotlin 
       Excellent communication skills and teamwork
      
     
    
   
  
 
","https://in.indeed.com/applystart?jk=32d78c4b8fabe9f4&from=vj&pos=bottom&mvj=0&spon=0&sjdu=BQ1fOKU6SMjz57AxXCzG64DDplm6SwWjHcxyoDIphKkLFrJRXNuUqmj39CuARwc6kN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=80778b124d0a7ee4&assa=8994","32d78c4b8fabe9f4",,"Vadodara, Gujarat","React Native Developer","Just posted",,,"₹50,000 a month","2023-02-19T11:49:30.492Z","https://www.indeed.co.in/rc/clk?jk=32d78c4b8fabe9f4&fccid=1e3adbaf112828a2&vjs=3"
"CAFSInfotech",,"
 
  
   
    Interview Location: Chennai
     
    Work Location: Coimbatore
     
    Experience: 1-5 years
     
    Qualification: Any Degree
     
    Job Description: We are looking for a Mobile Application Developer who possesses a passion for mobile technologies and will work with next generation payment gateway platform.
     
    Responsibilities: 
     
    
     Design and build Android mobile applications
     Collaborate with cross-functional teams to analyze, design, and ship new features 
     Fully responsible for mobile app development in the team 
     Build and publish applications in app stores 
     Implement new technologies to maximize application performance.
    
     Skills:
     
    
     Excellent knowledge in core Java 
     Hands-on experience in the full life cycle of Android application development 
     Strong knowledge in RESTful web services 
     Good Knowledge of Android SDK's
     Push Notifications & Toast
     Eclipse & ANT based build system 
     Android Studio 
     Experience in Gradle.
    
   
  
 

","https://in.indeed.com/applystart?jk=11da47ef3e6594b2&from=vj&pos=bottom&mvj=0&spon=0&sjdu=IT0AqOdZA5pC_ttNXKIbFViMme4U3SGfCdL3BHhnsV9_i86BqOWaf_y__bmJZnj4JDh05ZgXSkjNiWc5kRhWZg&vjfrom=serp&astse=22d61985319cd8f7&assa=1584","11da47ef3e6594b2",,"Chennai, Tamil Nadu","Android Developer","Just posted",,,,"2023-02-19T11:49:31.897Z","https://www.indeed.co.in/rc/clk?jk=11da47ef3e6594b2&fccid=86b3a664a5e46925&vjs=3"
"Brand Provoke Consultants",,"
 
  
   
    
     
      
       
        Job Role:
         The backend developer is responsible for keeping the NodeJS API, Mongo DB and AWS infrastructure up and running to ensure our users can access the web application with high level of user experiences.
       
       
         You will
        
          
          Build new services and APIs 
          Interview for and build out our backend team 
          Build the foundational framework for new and existing systems 
          Ensure our systems and infrastructure are secure, reliable, and performant 
          Work without engineers across the company to build out new features 
          Debug production issues across multiple levels of the stack 
          Improve engineering standards, tooling, and processes 
         
        
       
       
        You may be a fit for this role if
        
          
          2+ years of industry experience at high-growth startups or companies 
          Proficiency in Typescript/JavaScript and NodeJS 
          Excellent written and verbal communication skills 
          Passion for GraphQL, JavaScript/Typescript and the surrounding ecosystem 
         
        
       
       
        Our Stack
        
          
          React.JS 
          NodeJS 
          AWS 
          Kubernetes 
          MongoDB Atlas 
         
        
       
       
        DUTIES & RESPONSIBILITIES
        
          
          Work on and with our NodeJS API 
          Help deploy new features and debug small bugs in our existing codebase 
          Independently build out and deploy new features 
          Incrementally bring existing knowledge and best practices to better our backend codebase 
          Help the team plan future projects (both long and short term) 
         
        
       
        
      
     
    
   
  
 
 
  
   Art Director (Print & Web)
  
  
    
    
     
      
       
        JOB ROLE
         We are looking for a Sr Art Director to join the marketing & design team at Brand Provoke As a Sr. Art Director, you will work with leaders across the organization to ideate, create and execute campaigns, events and help evolve brands. 
       
       
        What You'll Do
        
          
          Help evolve the brands 
          Drives the creative process to produce high-quality, original content 
          Work closely with our strategy teams to launch new categories of content 
          Provide creative ideas to enhance our brand, communication and advertising programs. 
          Brings creative concepts to life through print, web UX, video production and motion design. 
          Presents work to senior management, cross functional business teams, and external partners. 
          Guides communication with external creative partners, providing creative direction and revisions. 
          Function as both an individual contributor as well as a director when working with our network of partners and freelance resources 
         
        
       
       
        Qualifications
        
          
          Minimum of 5 years art direction experience in the mediums of print, advertising, conceptual campaigns, branding, photography, digital media, product and motion design. 
          Must have impeccable design skills. 
          Shown ability to develop and guide thoughtful, meaningful, provocative creative with an extraordinary eye for detail. 
          Demonstrated ability to lead, communicate, and collaborate with multidisciplinary teams 
          Highly collaborative, with strong communication skills and the ability to articulate ideas in a clear and concise manner. 
          Proficiency in Adobe Creative Suite. 3D software like Maxon cinema 4d is a plus. 
          Online portfolio that showcases your work. 
         
        
       
        
      
     
    
   
  
 
 
  
   Brand Strategist (Creative and Strategic)
  
  
    
    
     
      
       
        JOB ROLE
        
          Responsibilities 
          
          Knowledge of common branding jargon like Brand Identity, Brand Discovery, Archetypes, Tone & Voice, Brand Values, Mission, Vision, Value Proposition, etc. 
          Selected candidate(s) will be interacting with the client directly, 
          Must be familiar/experienced with modern marketing (SMM, SEO, ASO, etc.) and design trends. 
          Basic technical knowledge w.r.t. web & mobile application design and development. 
          Oversee innovative ideas and category-specific approaches across a wide range of categories, identifying and designing the approach where needed 
          Strong collaboration with the Branded Content, Video, Experiential, Research/Trends, and Sales Teams to create strategic marketing proposals 
          Ensure all ideas are packaged appropriately from a proposal and planning perspective, aligning with the needs of our brand partners 
          Understand insights to better curate marketing opportunities for clients, utilizing measurement tools and research to add relevant, trustworthy data to our ideation 
          Manage interdepartmental workflow to ensure that all elements are handled according to process and schedule 
         
        
       
       
        Requirements
        
          
          3+ years of digital and/or traditional marketing experience or digital strategy in a related field 
          Ability to manage multiple RFP’s within a given week 
          Strategic and creative thinker with excellent verbal and written skills; ability to multi-task 
          Preferred Educational Background- MBA (Marketing) or similar. 
          Upbeat, can-do, proactive outlook, calm under pressure, and a sense of humor 
          Proficiency in PowerPoint, MS Office, Zoom Meetings, and experience with research tools such as: Google Surveys, comScore, Quantcast, and/or Shareablee 
          Strong organizational, project management, and time management skills in a fast-paced environment
         
        
       
      
     
    
   
  
 

","https://in.indeed.com/applystart?jk=aa6578db58f1bdc8&from=vj&pos=bottom&mvj=0&spon=0&sjdu=vVKr8OpM4Qg9Gs3MxCsheTGQLKM8YuxJn2urSBpPV1FrzaL914TFGqabYM9S1xRL3pR_DR_fdOiqzYsnhlVrDA&vjfrom=serp&astse=74dce2209f5e6932&assa=2156","aa6578db58f1bdc8",,"Delhi, Delhi","Backend Developer","Just posted",,,,"2023-02-19T11:49:32.396Z","https://www.indeed.co.in/rc/clk?jk=aa6578db58f1bdc8&fccid=090a9fadae39ede7&vjs=3"
"Brand Provoke Consultants",,"
 
  
   
    
     
      
       
        Job Role:
        
          
          Ability to convert Wireframes and XD, Figma Designs into functional web apps using HTML5, React.js, Node.js, and Mongo 
          Binding of UI elements to JavaScript object models 
          Creating RESTful services with Node.js 
          Implement, Design and Architect scalable web architectures 
          Work in a cross-functional team to deliver a complete product development experience 
          Create Unit and Integration tests to ensure the quality of code 
          Be responsive to change requests and feature requests 
          Write code that is cross-platform and cross-device compatible 
          Ability to learn new technologies quickly 
         
        
       
       
        Qualifications
        
          Experience 
         
          2-3 years minimum in creating complex React.js based solutions 
          Detail oriented Web Developer for creating JavaScript based solutions 
          1-2 years with Node.js and Express 
          Ability to work both independently and in collaborative teams to communicate design and build ideas effectively 
          Experience using asynchronous RESTful services (JSON) 
          Good Design Skills (OOPs concepts, design patterns, re-usability, abstraction) 
          Strong web application development knowledge using Nodejs 
         
        
       
       
        Requirements
        
          
          Strong knowledge of JavaScript and React JS 
          Working knowledge of Node.js and Express 
          Fluent knowledge of latest HTML/CSS standards and best practices 
          Solid Understanding of HTTP protocol and how server-side code is processed on the client 
          Some experience with XD or Figma is a plus (creating sprites, optimizing, cutting or adjusting images) 
          Strong knowledge of front-end optimization and performance techniques 
          Obsession with lean, clean, and organized front-end code 
          Cross-browser development and troubleshooting 
          Experience building Responsive websites for web, tablet, and mobile devices 
          Eye for details is crucial 
          Able to handle multiple projects and competing deadlines 
          Good understanding of overall web design including basic usability, accessibility, industry standards, architecture, and navigation 
          Portfolio of work required. Include examples of all areas of frontend development 
         
        
       
       
        Additional Information
        
          Additional Skills & Competencies 
          
          Excellent communication and organizational skills 
          Developing for web and PWA platforms 
          Twitter Bootstrap, Material UI and SASS 
          AWS, Kubernetes & Git 
         
        
       
        
      
     
    
   
  
 
 
  
   Backend Developer
  
  
    
    
     
      
       
        Job Role:
         The backend developer is responsible for keeping the NodeJS API, Mongo DB and AWS infrastructure up and running to ensure our users can access the web application with high level of user experiences.
       
       
         You will
        
          
          Build new services and APIs 
          Interview for and build out our backend team 
          Build the foundational framework for new and existing systems 
          Ensure our systems and infrastructure are secure, reliable, and performant 
          Work without engineers across the company to build out new features 
          Debug production issues across multiple levels of the stack 
          Improve engineering standards, tooling, and processes 
         
        
       
       
        You may be a fit for this role if
        
          
          2+ years of industry experience at high-growth startups or companies 
          Proficiency in Typescript/JavaScript and NodeJS 
          Excellent written and verbal communication skills 
          Passion for GraphQL, JavaScript/Typescript and the surrounding ecosystem 
         
        
       
       
        Our Stack
        
          
          React.JS 
          NodeJS 
          AWS 
          Kubernetes 
          MongoDB Atlas 
         
        
       
       
        DUTIES & RESPONSIBILITIES
        
          
          Work on and with our NodeJS API 
          Help deploy new features and debug small bugs in our existing codebase 
          Independently build out and deploy new features 
          Incrementally bring existing knowledge and best practices to better our backend codebase 
          Help the team plan future projects (both long and short term) 
         
        
       
        
      
     
    
   
  
 
 
  
   Art Director (Print & Web)
  
  
    
    
     
      
       
        JOB ROLE
         We are looking for a Sr Art Director to join the marketing & design team at Brand Provoke As a Sr. Art Director, you will work with leaders across the organization to ideate, create and execute campaigns, events and help evolve brands. 
       
       
        What You'll Do
        
          
          Help evolve the brands 
          Drives the creative process to produce high-quality, original content 
          Work closely with our strategy teams to launch new categories of content 
          Provide creative ideas to enhance our brand, communication and advertising programs. 
          Brings creative concepts to life through print, web UX, video production and motion design. 
          Presents work to senior management, cross functional business teams, and external partners. 
          Guides communication with external creative partners, providing creative direction and revisions. 
          Function as both an individual contributor as well as a director when working with our network of partners and freelance resources 
         
        
       
       
        Qualifications
        
          
          Minimum of 5 years art direction experience in the mediums of print, advertising, conceptual campaigns, branding, photography, digital media, product and motion design. 
          Must have impeccable design skills. 
          Shown ability to develop and guide thoughtful, meaningful, provocative creative with an extraordinary eye for detail. 
          Demonstrated ability to lead, communicate, and collaborate with multidisciplinary teams 
          Highly collaborative, with strong communication skills and the ability to articulate ideas in a clear and concise manner. 
          Proficiency in Adobe Creative Suite. 3D software like Maxon cinema 4d is a plus. 
          Online portfolio that showcases your work. 
         
        
       
        
      
     
    
   
  
 
 
  
   Brand Strategist (Creative and Strategic)
  
  
    
    
     
      
       
        JOB ROLE
        
          Responsibilities 
          
          Knowledge of common branding jargon like Brand Identity, Brand Discovery, Archetypes, Tone & Voice, Brand Values, Mission, Vision, Value Proposition, etc. 
          Selected candidate(s) will be interacting with the client directly, 
          Must be familiar/experienced with modern marketing (SMM, SEO, ASO, etc.) and design trends. 
          Basic technical knowledge w.r.t. web & mobile application design and development. 
          Oversee innovative ideas and category-specific approaches across a wide range of categories, identifying and designing the approach where needed 
          Strong collaboration with the Branded Content, Video, Experiential, Research/Trends, and Sales Teams to create strategic marketing proposals 
          Ensure all ideas are packaged appropriately from a proposal and planning perspective, aligning with the needs of our brand partners 
          Understand insights to better curate marketing opportunities for clients, utilizing measurement tools and research to add relevant, trustworthy data to our ideation 
          Manage interdepartmental workflow to ensure that all elements are handled according to process and schedule 
         
        
       
       
        Requirements
        
          
          3+ years of digital and/or traditional marketing experience or digital strategy in a related field 
          Ability to manage multiple RFP’s within a given week 
          Strategic and creative thinker with excellent verbal and written skills; ability to multi-task 
          Preferred Educational Background- MBA (Marketing) or similar. 
          Upbeat, can-do, proactive outlook, calm under pressure, and a sense of humor 
          Proficiency in PowerPoint, MS Office, Zoom Meetings, and experience with research tools such as: Google Surveys, comScore, Quantcast, and/or Shareablee 
          Strong organizational, project management, and time management skills in a fast-paced environment
         
        
       
      
     
    
   
  
 

","https://in.indeed.com/applystart?jk=6be475adde37446d&from=vj&pos=bottom&mvj=0&spon=0&sjdu=vVKr8OpM4Qg9Gs3MxCsheTGQLKM8YuxJn2urSBpPV1FrzaL914TFGqabYM9S1xRL3pR_DR_fdOiqzYsnhlVrDA&vjfrom=serp&astse=dfb11694aad5e35b&assa=2955","6be475adde37446d",,"Delhi, Delhi","Frontend Developer","Just posted",,,,"2023-02-19T11:49:33.397Z","https://www.indeed.co.in/rc/clk?jk=6be475adde37446d&fccid=090a9fadae39ede7&vjs=3"
"iTool Solutions",,"
 iTool Solutions is seeking a full-time Web Developer/Designer. An ideal candidate must have at least 2 years of experience. 
  
  Qualification: Bachelor's degree
  Experience: 2+ Years
  Job Location: Surat
  
  Basic Skills:
  i. Good communication and interpersonal skills
  ii. 2+ years of experience working with WordPress.
  iii. Having experience with other CMS like Joomla, Shopify
  iv. Strong knowledge of current web development languages (including HTML5, CSS3, PHP/MySQL)
  v. Familiarity with web standards and usability
  vi. Ability to manage multiple projects at a time
  vii. Flexibility and eagerness to identify, learn, and use new and changing technologies
  viii. Familiarity with ASP .net, Javascript/VBScript, web server configurations (Windows and Linux) a plus
  ix. Self-motivated with “Go Get It attitude”
  
  Responsibility:
  i. Design and implement websites from initial concept, site architecture, and user interface to finished deliverable
  ii. Code and implement WordPress sites from Photoshop layout through Html/CSS to a custom theme, functions, and plugins
  iii. Design and implement new features, enhancements, and content of existing websites
  iv. Create and update re-usable code libraries to streamline WordPress development cycle
  v. Facilitate client WordPress training, site documentation and maintenance
  vi. Design interfaces and graphics for presentations and mobile-delivered applications
","https://in.indeed.com/applystart?jk=02b64569187a947a&from=vj&pos=bottom&mvj=0&spon=0&sjdu=yBtcOIp9QeZBqRcsJhw-Iqphj2Ry4hUOEi_Z8FTj3VnIXdnuaG-miFL3T-1oGAVw&vjfrom=serp&astse=d5b882b4f8ae44e7&assa=2546","02b64569187a947a",,"Surat, Gujarat","WordPress Developer","Just posted",,,,"2023-02-19T11:49:33.689Z","https://www.indeed.co.in/rc/clk?jk=02b64569187a947a&fccid=9612f6fe1b84ca9d&vjs=3"
