positionName,company,location,JobID,description,score
Data Scientist,Chubb INA Holdings Inc.,"Bengaluru, Karnataka",91,"Job Requirements  Responsibilities Work with business partners globally to define the scope of the project, determine analyses to be performed, manage deliverables against timelines, present of results and implement the model Use broad spectrum of NLP, Machine Learning and deep learning techniques to extract impactful features from unstructured data Develop and implement models that help with automating the underwriting and pricing process; Ensure that the model is able to meet the desired KPIs post production Be a thought leader and generate ideas / novel approaches to business problems Stay abreast of the developments in the rapidly changing field of AI and machine learning Handle stakeholder requests and perform work with little to no assistance Mentor and coach junior team members and provide support on projects requiring advanced skill and domain expertise Gain deeper understanding of Chubbs business and develop expertise on multiple lines of business  Work Experience Sound understanding of ML concepts Probabilistic Models, Supervised vs Unsupervised Learning, Ensemble Techniques, Hyperparameter Optimization, and Deep Learning; Strong experience in developing and maintaining machine learning models.   Proficient in Python with strong capabilities in data engineering, data transformation, data analysis and data visualization. Knowledge of R/SQL will be a plus  Good knowledge in machine learning tools and libraries (scikit-learn, h2o, R, MLlib, etc) 3-10 years programming experience in Python, including Numpy, Scipy, Pandas, Regex, Matplotlib and other machine learning libraries Experience in visualization tools like Qlik, Power BI etc. will be an added advantage Must have experience with data and machine learning services using Azure Must have experience with Github and RESTful APIs Knowledge/ Experience in Big data technologies will be an advantage Should be able to work in a team setting to understand problems and map out solutions; Must have strong problem solving skills Multi-tasking along with strong organization and time management skills is essential Should be adept at research and must look to apply new methodologies to varied situations Strong communication and presentation skills Must possess an advanced degree in data science, business analytics, computers, statistics, mathematics or economics",1.2501164596152639
Data Science - Knowledge Graph,Chubb INA Holdings Inc.,"Bengaluru, Karnataka",95,"Work Experience Work with business partners globally to define the scope of the project, determine analyses to be performed, manage deliverables against timelines, present of results and implement the model Use broad spectrum of NLP, Machine Learning and deep learning techniques to extract impactful features from unstructured data Develop and implement models that help with automating the underwriting and pricing process; Ensure that the model is able to meet the desired KPIs post production Be a thought leader and generate ideas / novel approaches to business problems Stay abreast of the developments in the rapidly changing field of AI and machine learning Handle stakeholder requests and perform work with little to no assistance Mentor and coach junior team members and provide support on projects requiring advanced skill and domain expertise Gain deeper understanding of Chubbs business and develop expertise on multiple lines of business  Benefits Sound understanding of ML concepts Probabilistic Models, Supervised vs Unsupervised Learning, Ensemble Techniques, Hyperparameter Optimization, and Deep Learning; Strong experience in developing and maintaining machine learning models.   Proficient in Python with strong capabilities in data engineering, data transformation, data analysis and data visualization. Knowledge of R/SQL will be a plus  Good knowledge in machine learning tools and libraries (scikit-learn, h2o, R, MLlib, etc) 3-5 years programming experience in Python, including Numpy, Scipy, Pandas, Regex, Matplotlib and other machine learning libraries Experience with Knowledge graphs, Neo4j is must Experience in visualization tools like Qlik, Power BI etc. will be an added advantage Must have experience with data and machine learning services using Azure Must have experience with Github and RESTful APIs Knowledge/ Experience in Big data technologies will be an advantage Should be able to work in a team setting to understand problems and map out solutions; Must have strong problem solving skills Multi-tasking along with strong organization and time management skills is essential Should be adept at research and must look to apply new methodologies to varied situations Strong communication and presentation skills Must possess an advanced degree in data science, business analytics, computers, statistics, mathematics or economics",1.2519119356448012
"Manager MLOps, Data Science",Mondelēz International,"Mumbai, Maharashtra",382,"Job Description   Are You Ready to Make It Happen at Mondelēz International?   Join our Mission to Lead the Future of Snacking. Make It With Pride.   You will be crucial in supporting our business by creating valuable, actionable insights about the data, and communicating your findings to the business. You will work with various stakeholders to determine how to use business data for business solutions/insights.   How you will contribute   You will:    Analyze and derive value from data through the application methods such as mathematics, statistics, computer science, machine learning and data visualization. In this role you will also formulate hypotheses and test them using math, statistics, visualization and predictive modeling   Understand business challenges, create valuable actionable insights about the data, and communicate your findings to the business. After that you will work with stakeholders to determine how to use business data for business solutions/insights   Enable data-driven decision making by creating custom models or prototypes from trends or patterns discerned and by underscoring implications. Coordinate with other technical/functional teams to implement models and monitor results   Apply mathematical, statistical, predictive modelling or machine-learning techniques and with sensitivity to the limitations of the techniques. Select, acquire and integrate data for analysis. Develop data hypotheses and methods, train and evaluate analytics models, share insights and findings and continues to iterate with additional data   Develop processes, techniques, and tools to analyze and monitor model performance while ensuring data accuracy   Evaluate the need for analytics, assess the problems to be solved and what internal or external data sources to use or acquire. Specify and apply appropriate mathematical, statistical, predictive modelling or machine-learning techniques to analyze data, generate insights, create value and support decision making   Contribute to exploration and experimentation in data visualization and you will manage reviews of the benefits and value of analytics techniques and tools and recommend improvements    What you will bring   A desire to drive your future and accelerate your career and the following experience and knowledge:    Strong quantitative skillset with experience in statistics and linear algebra.   A natural inclination toward solving complex problems   Knowledge/experience with statistical programming languages including R, Python, SQL, etc., to process data and gain insights from it   Knowledge of machine learning techniques including decision-tree learning, clustering, artificial neural networks, etc., and their pros and cons   Knowledge and experience in advanced statistical techniques and concepts including, regression, distribution properties, statistical testing, etc.   Good communication skills to promote cross-team collaboration   Multilingual coding knowledge/experience: Java, JavaScript, C, C++, etc.   Experience/knowledge in statistics and data mining techniques including random forest, GLM/regression, social network analysis, text mining, etc. Ability to use data visualization tools to showcase data for stakeholders    More about this role   What you need to know about this position:   This position provides a very significant amount of learning and growth opportunities from both technical and leadership perspective. The candidate will be exposed to different areas of Machine Learning operations and Maintenance and will Manage variety of modeling approaches.  MLOps engineers require a skill set that comes from multiple different fields like DevOps, Data Engineering and Machine Learning Operations.   What extra ingredients you will bring:  This role requires person to having working experience in the following areas: -    Deployed ML services and applications to at least one major cloud platform (AWS, Azure, GCP) using Python and PySpark onto the Databricks environment.   Design, build and optimize application containerization and orchestration with Docker and Google Kubernetes Engine.   Design, build and deployed microservices for Data Science application such as ML Training Pipeline, ML Serving Pipeline.   Knowledge on machine learning frameworks like Scikit-Learn, TensorFlow, PyTorch, Keras etc.   Proficiency with MLOps frameworks like MLFlow, Kubeflow, ML Tracking and Experiments.   Proficiency with Continuous Implementation and Continuous Delivery to deploy code into production   Quantitative and Qualitative Model Validation process developed by Data Science and Analytics team and should have implemented the Model validation process pipeline in compliance with company policy   Built continuous integration and delivery pipelines for Machine Learning applications. Worked in agile pods to design and build cloud hosted, ML products with automated pipelines that run, monitor, and retrain ML Models.   Built products that will be deployed globally on a leading-edge tech stack   Experience in setting up the ML Model Reports on usage of models, model performance monitoring.    Education / Certifications:  Candidate will be preferred with the degree in the fields of; Computer Science, Engineering, Computational Statistics, Mathematics.   Job specific requirements:    8+ year of experience as DevOps, Data Engineer and MLOps engineer working on cloud-based services on Unix/Linux environment.   Experience working in cross-functional Agile teams.   Proficiency in Python and PySpark language.   Experience in working with source code management systems like GitHub.   Enabled the basic data validation like format and size, column types, null and invalid values and also using higher level statistical property of input data like standard deviation etc.   Enabled the Data and Model Drift Alert Framework   Setting up the version control on Code, Data, and Machine Learning Models   Recommending the ideas to improve the Model performance   Provide effective challenge to the model design, development and conduct incremental analysis and testing as necessary   Review of back-testing exercises produced by the Modeling team   Recommendation aiming at ensuring the adequacy and the compliance of models (issue and monitoring)   A core member of the Model Governance Team related to new model development and validation   Validation of methodological choices and contribution as an expert to the model review   A working knowledge of exact, approximation algorithms, and heuristic methods for solving difficult optimization problems   Implementation and maintenance of model validation processes and conduct validation and ongoing monitoring activities for new and existing models.   Provide assessment by writing a comprehensive validation report based on his/her judgment of the Model results.    Within Country Relocation support available and for candidates voluntarily moving internationally some minimal support is offered through our Volunteer International Transfer Policy   Business Unit Summary   At Mondelēz International, our purpose is to empower people to snack right by offering the right snack, for the right moment, made the right way. That means delivering a broad range of delicious, high-quality snacks that nourish life's moments, made with sustainable ingredients and packaging that consumers can feel good about.  We have a rich portfolio of strong brands globally and locally including many household names such as Oreo , belVita and LU biscuits; Cadbury Dairy Milk , Milka and Toblerone chocolate; Sour Patch Kids candy and Trident gum. We are proud to hold the top position globally in biscuits, chocolate and candy and the second top position in gum.  Our 80,000 makers and bakers are located in more than 80 countries and we sell our products in over 150 countries around the world. Our people are energized for growth and critical to us living our purpose and values. We are a diverse community that can make things happen—and happen fast.   Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.   Job Type  Regular  Data Science  Analytics & Data Science",1.2579189485153555
"Manager MLOps, Data Science",Mondelēz International,"Mumbai, Maharashtra",982,"Job Description   Are You Ready to Make It Happen at Mondelēz International?   Join our Mission to Lead the Future of Snacking. Make It With Pride.   You will be crucial in supporting our business by creating valuable, actionable insights about the data, and communicating your findings to the business. You will work with various stakeholders to determine how to use business data for business solutions/insights.   How you will contribute   You will:    Analyze and derive value from data through the application methods such as mathematics, statistics, computer science, machine learning and data visualization. In this role you will also formulate hypotheses and test them using math, statistics, visualization and predictive modeling   Understand business challenges, create valuable actionable insights about the data, and communicate your findings to the business. After that you will work with stakeholders to determine how to use business data for business solutions/insights   Enable data-driven decision making by creating custom models or prototypes from trends or patterns discerned and by underscoring implications. Coordinate with other technical/functional teams to implement models and monitor results   Apply mathematical, statistical, predictive modelling or machine-learning techniques and with sensitivity to the limitations of the techniques. Select, acquire and integrate data for analysis. Develop data hypotheses and methods, train and evaluate analytics models, share insights and findings and continues to iterate with additional data   Develop processes, techniques, and tools to analyze and monitor model performance while ensuring data accuracy   Evaluate the need for analytics, assess the problems to be solved and what internal or external data sources to use or acquire. Specify and apply appropriate mathematical, statistical, predictive modelling or machine-learning techniques to analyze data, generate insights, create value and support decision making   Contribute to exploration and experimentation in data visualization and you will manage reviews of the benefits and value of analytics techniques and tools and recommend improvements    What you will bring   A desire to drive your future and accelerate your career and the following experience and knowledge:    Strong quantitative skillset with experience in statistics and linear algebra.   A natural inclination toward solving complex problems   Knowledge/experience with statistical programming languages including R, Python, SQL, etc., to process data and gain insights from it   Knowledge of machine learning techniques including decision-tree learning, clustering, artificial neural networks, etc., and their pros and cons   Knowledge and experience in advanced statistical techniques and concepts including, regression, distribution properties, statistical testing, etc.   Good communication skills to promote cross-team collaboration   Multilingual coding knowledge/experience: Java, JavaScript, C, C++, etc.   Experience/knowledge in statistics and data mining techniques including random forest, GLM/regression, social network analysis, text mining, etc. Ability to use data visualization tools to showcase data for stakeholders    More about this role   What you need to know about this position:   This position provides a very significant amount of learning and growth opportunities from both technical and leadership perspective. The candidate will be exposed to different areas of Machine Learning operations and Maintenance and will Manage variety of modeling approaches.  MLOps engineers require a skill set that comes from multiple different fields like DevOps, Data Engineering and Machine Learning Operations.   What extra ingredients you will bring:  This role requires person to having working experience in the following areas: -    Deployed ML services and applications to at least one major cloud platform (AWS, Azure, GCP) using Python and PySpark onto the Databricks environment.   Design, build and optimize application containerization and orchestration with Docker and Google Kubernetes Engine.   Design, build and deployed microservices for Data Science application such as ML Training Pipeline, ML Serving Pipeline.   Knowledge on machine learning frameworks like Scikit-Learn, TensorFlow, PyTorch, Keras etc.   Proficiency with MLOps frameworks like MLFlow, Kubeflow, ML Tracking and Experiments.   Proficiency with Continuous Implementation and Continuous Delivery to deploy code into production   Quantitative and Qualitative Model Validation process developed by Data Science and Analytics team and should have implemented the Model validation process pipeline in compliance with company policy   Built continuous integration and delivery pipelines for Machine Learning applications. Worked in agile pods to design and build cloud hosted, ML products with automated pipelines that run, monitor, and retrain ML Models.   Built products that will be deployed globally on a leading-edge tech stack   Experience in setting up the ML Model Reports on usage of models, model performance monitoring.    Education / Certifications:  Candidate will be preferred with the degree in the fields of; Computer Science, Engineering, Computational Statistics, Mathematics.   Job specific requirements:    8+ year of experience as DevOps, Data Engineer and MLOps engineer working on cloud-based services on Unix/Linux environment.   Experience working in cross-functional Agile teams.   Proficiency in Python and PySpark language.   Experience in working with source code management systems like GitHub.   Enabled the basic data validation like format and size, column types, null and invalid values and also using higher level statistical property of input data like standard deviation etc.   Enabled the Data and Model Drift Alert Framework   Setting up the version control on Code, Data, and Machine Learning Models   Recommending the ideas to improve the Model performance   Provide effective challenge to the model design, development and conduct incremental analysis and testing as necessary   Review of back-testing exercises produced by the Modeling team   Recommendation aiming at ensuring the adequacy and the compliance of models (issue and monitoring)   A core member of the Model Governance Team related to new model development and validation   Validation of methodological choices and contribution as an expert to the model review   A working knowledge of exact, approximation algorithms, and heuristic methods for solving difficult optimization problems   Implementation and maintenance of model validation processes and conduct validation and ongoing monitoring activities for new and existing models.   Provide assessment by writing a comprehensive validation report based on his/her judgment of the Model results.    Within Country Relocation support available and for candidates voluntarily moving internationally some minimal support is offered through our Volunteer International Transfer Policy   Business Unit Summary   At Mondelēz International, our purpose is to empower people to snack right by offering the right snack, for the right moment, made the right way. That means delivering a broad range of delicious, high-quality snacks that nourish life's moments, made with sustainable ingredients and packaging that consumers can feel good about.  We have a rich portfolio of strong brands globally and locally including many household names such as Oreo , belVita and LU biscuits; Cadbury Dairy Milk , Milka and Toblerone chocolate; Sour Patch Kids candy and Trident gum. We are proud to hold the top position globally in biscuits, chocolate and candy and the second top position in gum.  Our 80,000 makers and bakers are located in more than 80 countries and we sell our products in over 150 countries around the world. Our people are energized for growth and critical to us living our purpose and values. We are a diverse community that can make things happen—and happen fast.   Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.   Job Type  Regular  Data Science  Analytics & Data Science",1.25792457523579
ASSOCIATE DEVOPS ENGINEER,SKS Enterpprise,"Chennai, Tamil Nadu",779,"Position Name - Associate DevOps Engineer    Location - Chennai    Experience Range - 0 to 1 Year    Team - Risk Analytics & Modelling   Preferred Requirement:       Experience in working with large scale data sets and Machine Learning Models.    Expected Technical Skills - Python, MLOps tools, Docker, Kubernetes, Apache Spark, Jenkins.    Experience in SQL language will be an advantage.      About the client:    Our client is providing a platform in the financial services sector set up primarily with the mission of catering to the diverse credit requirements of under-served households and businesses by providing efficient and reliable access to debt finance.        About the role:     As a member of analytics team that measures and manages portfolio of debt and structured finance investments, to be responsible for designing, building, and executing different analytical models directly impacting key business decisions, with a primary objective of setting up and monitoring the Machine Learning Operations Workflow (MLOps) framework of the organization, essentially bringing in automation in creating, training, testing, deploying and updating machine learning Models.        Job Role and Responsibilities:       Streamline the process of pushing Machine Learning Models to Production    Maintaining and Monitoring all Machine Learning Models in Production and Development    Collaborate with the Data scientists and Analysts to increase the pace of model development and production by implementing rigid CI/CD pipelines via means of monitoring, validation and governance frameworks    Support development of scalable and efficient framework for LARGE SCALE data analyses, model development, model validation and model implementation    Experiment, iterate and continuously improve the Machine Learning lifecycle in the organization    Share, explore and prep data for the model development    Design all data pipelines and engineering infrastructure with the goal of easy usability of data across all analytics and Machine learning projects    Develop Self-learning model pipelines to continuously improve on existing models basis inferences drawn in the monitoring stage     Automation of Machine Learning training and testing pipelines    Build pipelines to test Multiple Machine Learning Models in parallel    Collaborate with the data engineers and data scientists on feature development in order to create containers and build out the deployment pipelines for new modules    Design, build, automate and optimize application containers and orchestration with Docker and Kubernetes and cloud platforms like AWS or Azure      Qualification and Experience:    Preferred Experience:       Experience in a Data Science / Software Engineering function of an organization, preferably deploying models and applications at scale.    Experience in the finance domain is preferred.      Minimum Qualification:    Master's/ Bachelor’s Degree in Statistics/ Mathematics.    Preferred Skills:       Experience in working with large scale data sets and Machine learning Models.    Understanding of financial sectors and lending products.    Expected Technical Skills - Python, MLOps tools, Docker, Kubernetes, Apache Spark, Jenkins.    Experience in SQL language will be an advantage.    Experience in building large-scale data pipelines    Excellent communication and presentation skills    Ability to work under pressure, to handle multiple tasks simultaneously, and meet deadlines.",1.2677934341416688
MACHINE LEARNING ENGINEER,Amanzi Technologies,"Noida, Uttar Pradesh",400,"Amanzi Technologies Pvt. Ltd.                              Permanent                              Noida                              Posted 3 weeks ago                          Out of the box solution          Responsibilities:      Designing and developing machine learning and deep learning systems.    Running machine learning tests and experiments.    Implementing appropriate ML algorithms.        Job brief:   We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.   Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.   Your ultimate goal will be to shape and build efficient self-learning applications.   Responsibilities:      Study and transform data science prototypes.    Design machine learning systemsResearch and implement appropriate ML algorithms and tools.    Develop machine learning applications according to requirements.    Select appropriate datasets and data representation methodsRun machine learning tests and experiments.    Perform statistical analysis and fine-tuning using test resultsTrain and retrain systems when necessary.    Extend existing ML libraries and frameworks.    Keep abreast of developments in the field        Mandatory skills:      Bachelor’s degree in computer science, data science, mathematics, or a related field. (B.E / MCA / B. tech / P. hd).    4-7 years of experience as a machine learning engineer.    Extensive knowledge of ML frameworks, libraries, data structures, data modelling, and software architecture.    In-depth knowledge of mathematics, statistics, and algorithms.    Proficiency with a deep learning framework such as TensorFlow or Keras.    Proficiency with Python(Mandate) and basic libraries for machine learning such as scikit-learn and pandas.    Ability to select hardware to run an ML model with the required latency.    Proficiency in Artificial neural networks, RNN, LSTM.    Hands-on Autoencoders, GAN’s, Convolution neural networks and Deep learning models.    Experience with at least one cloud provider solution (AWS, GCP, Azure).        Job Features                     Job Category                 Information Technology",1.2704225455471483
data scientist,Randstad,"Hyderabad, Telangana",746,"summary                       hyderabad, telangana        a client of randstad india        permanent                                            reference number       JPC - 80744                 job details            An exciting opportunity exists for an experienced Data Scientist to join the newly established Ed-Tech venture leading its ambitious vision to develop personalized competitive examinations cracking journey. You will take the lead with the design, creation, and installment of analytics systems.         You will ideally have extensive experience building analytics products from a technology perspective.          Drive the analytics solution      Create re-usable analytics solutions for the future projects      Keep the technology stack up to date              This role will develop as the new venture takes shape and therefore its specification will be reviewed regularly and modified, if required, in accordance with the needs of the future business requirements.          Study and transform data science prototypes      Design NLP applications      Select appropriate annotated datasets for Supervised Learning methods      Use effective text representations to transform natural language into useful features      Find and implement the right algorithms and tools for NLP tasks      Develop NLP systems according to requirements      Train the developed model and run evaluation experiments      Perform statistical analysis of results and refine models      Extend ML libraries and frameworks to apply in NLP tasks      Remain updated in the rapidly changing field of machine learning         Required Qualifications, Skills, and Experience          Should be BE/BTech/MTech      3 to 7 years of experience in building NLP-based analytics solutions      Proven experience as an NLP Engineer or similar role      Understanding of NLP techniques for text representation, semantic extraction techniques, data structures, and modeling      Knowledge of Sagemaker on AWS is a must      Deep understanding of text representation techniques (such as n-grams, a bag of words, sentiment analysis, etc), statistics, and classification algorithms      Knowledge of Python, Java, and R      Ability to write robust and testable code      Experience with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)      Strong communication skills      An analytical mind with problem-solving abilities      Degree in Computer Science, Mathematics, Computational Linguistics, or a similar field      Familiarity with transfer learning such as Transformers, Attention, BERT     Must be certified on AWS ML Specialty ...               An exciting opportunity exists for an experienced Data Scientist to join the newly established Ed-Tech venture leading its ambitious vision to develop personalized competitive examinations cracking journey. You will take the lead with the design, creation, and installment of analytics systems.         You will ideally have extensive experience building analytics products from a technology perspective.          Drive the analytics solution      Create re-usable analytics solutions for the future projects      Keep the technology stack up to date              This role will develop as the new venture takes shape and therefore its specification will be reviewed regularly and modified, if required, in accordance with the needs of the future business requirements.          Study and transform data science prototypes      Design NLP applications      Select appropriate annotated datasets for Supervised Learning methods      Use effective text representations to transform natural language into useful features      Find and implement the right algorithms and tools for NLP tasks      Develop NLP systems according to requirements      Train the developed model and run evaluation experiments      Perform statistical analysis of results and refine models      Extend ML libraries and frameworks to apply in NLP tasks      Remain updated in the rapidly changing field of machine learning         Required Qualifications, Skills, and Experience          Should be BE/BTech/MTech      3 to 7 years of experience in building NLP-based analytics solutions      Proven experience as an NLP Engineer or similar role      Understanding of NLP techniques for text representation, semantic extraction techniques, data structures, and modeling      Knowledge of Sagemaker on AWS is a must      Deep understanding of text representation techniques (such as n-grams, a bag of words, sentiment analysis, etc), statistics, and classification algorithms      Knowledge of Python, Java, and R      Ability to write robust and testable code      Experience with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)      Strong communication skills      An analytical mind with problem-solving abilities      Degree in Computer Science, Mathematics, Computational Linguistics, or a similar field      Familiarity with transfer learning such as Transformers, Attention, BERT     Must be certified on AWS ML Specialty                    experience                    7",1.270479417120455
data scientist,Randstad,"Hyderabad, Telangana",148,"summary                       hyderabad, telangana        a client of randstad india        permanent                                            reference number       JPC - 80744                 job details            An exciting opportunity exists for an experienced Data Scientist to join the newly established Ed-Tech venture leading its ambitious vision to develop personalized competitive examinations cracking journey. You will take the lead with the design, creation, and installment of analytics systems.         You will ideally have extensive experience building analytics products from a technology perspective.          Drive the analytics solution      Create re-usable analytics solutions for the future projects      Keep the technology stack up to date              This role will develop as the new venture takes shape and therefore its specification will be reviewed regularly and modified, if required, in accordance with the needs of the future business requirements.          Study and transform data science prototypes      Design NLP applications      Select appropriate annotated datasets for Supervised Learning methods      Use effective text representations to transform natural language into useful features      Find and implement the right algorithms and tools for NLP tasks      Develop NLP systems according to requirements      Train the developed model and run evaluation experiments      Perform statistical analysis of results and refine models      Extend ML libraries and frameworks to apply in NLP tasks      Remain updated in the rapidly changing field of machine learning         Required Qualifications, Skills, and Experience          Should be BE/BTech/MTech      3 to 7 years of experience in building NLP-based analytics solutions      Proven experience as an NLP Engineer or similar role      Understanding of NLP techniques for text representation, semantic extraction techniques, data structures, and modeling      Knowledge of Sagemaker on AWS is a must      Deep understanding of text representation techniques (such as n-grams, a bag of words, sentiment analysis, etc), statistics, and classification algorithms      Knowledge of Python, Java, and R      Ability to write robust and testable code      Experience with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)      Strong communication skills      An analytical mind with problem-solving abilities      Degree in Computer Science, Mathematics, Computational Linguistics, or a similar field      Familiarity with transfer learning such as Transformers, Attention, BERT     Must be certified on AWS ML Specialty ...               An exciting opportunity exists for an experienced Data Scientist to join the newly established Ed-Tech venture leading its ambitious vision to develop personalized competitive examinations cracking journey. You will take the lead with the design, creation, and installment of analytics systems.         You will ideally have extensive experience building analytics products from a technology perspective.          Drive the analytics solution      Create re-usable analytics solutions for the future projects      Keep the technology stack up to date              This role will develop as the new venture takes shape and therefore its specification will be reviewed regularly and modified, if required, in accordance with the needs of the future business requirements.          Study and transform data science prototypes      Design NLP applications      Select appropriate annotated datasets for Supervised Learning methods      Use effective text representations to transform natural language into useful features      Find and implement the right algorithms and tools for NLP tasks      Develop NLP systems according to requirements      Train the developed model and run evaluation experiments      Perform statistical analysis of results and refine models      Extend ML libraries and frameworks to apply in NLP tasks      Remain updated in the rapidly changing field of machine learning         Required Qualifications, Skills, and Experience          Should be BE/BTech/MTech      3 to 7 years of experience in building NLP-based analytics solutions      Proven experience as an NLP Engineer or similar role      Understanding of NLP techniques for text representation, semantic extraction techniques, data structures, and modeling      Knowledge of Sagemaker on AWS is a must      Deep understanding of text representation techniques (such as n-grams, a bag of words, sentiment analysis, etc), statistics, and classification algorithms      Knowledge of Python, Java, and R      Ability to write robust and testable code      Experience with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)      Strong communication skills      An analytical mind with problem-solving abilities      Degree in Computer Science, Mathematics, Computational Linguistics, or a similar field      Familiarity with transfer learning such as Transformers, Attention, BERT     Must be certified on AWS ML Specialty                    experience                    7",1.2705242243918056
MACHINE LEARNING ENGINEER,Amanzi Technologies,"Noida, Uttar Pradesh",920,"Amanzi Technologies Pvt. Ltd.                              Permanent                              Noida                              Posted 3 weeks ago                          Out of the box solution          Responsibilities:      Designing and developing machine learning and deep learning systems.    Running machine learning tests and experiments.    Implementing appropriate ML algorithms.        Job brief:   We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.   Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.   Your ultimate goal will be to shape and build efficient self-learning applications.   Responsibilities:      Study and transform data science prototypes.    Design machine learning systemsResearch and implement appropriate ML algorithms and tools.    Develop machine learning applications according to requirements.    Select appropriate datasets and data representation methodsRun machine learning tests and experiments.    Perform statistical analysis and fine-tuning using test resultsTrain and retrain systems when necessary.    Extend existing ML libraries and frameworks.    Keep abreast of developments in the field        Mandatory skills:      Bachelor’s degree in computer science, data science, mathematics, or a related field. (B.E / MCA / B. tech / P. hd).    4-7 years of experience as a machine learning engineer.    Extensive knowledge of ML frameworks, libraries, data structures, data modelling, and software architecture.    In-depth knowledge of mathematics, statistics, and algorithms.    Proficiency with a deep learning framework such as TensorFlow or Keras.    Proficiency with Python(Mandate) and basic libraries for machine learning such as scikit-learn and pandas.    Ability to select hardware to run an ML model with the required latency.    Proficiency in Artificial neural networks, RNN, LSTM.    Hands-on Autoencoders, GAN’s, Convolution neural networks and Deep learning models.    Experience with at least one cloud provider solution (AWS, GCP, Azure).        Job Features                     Job Category                 Information Technology",1.270631838365859
Machine Learning Engineer,Revolo InfoTech,"Mumbai, Maharashtra",54,"We are seeking a highly skilled ML Ops Engineer to join our team. In this role, you will be responsible for designing, implementing, and maintaining our ML pipelines, and providing operational support for the production machine learning models. You will work closely with Data Scientists, Machine Learning Engineers, and DevOps teams to ensure the successful deployment and monitoring of ML models.Responsibilities: Develop and implement scalable and efficient machine learning pipelines Design and implement production-level machine learning systems in collaboration with data scientists and machine learning engineers Monitor and troubleshoot production systems to ensure their reliability and availability Design and implement monitoring solutions for machine learning models Build, deploy, and manage production machine learning models using containerization and orchestration tools like Docker and Kubernetes Work collaboratively with development and DevOps teams to integrate machine learning pipelines into CI/CD processes Develop and maintain documentation for ML Ops processes and procedures Identify and implement new tools and technologies to improve the efficiency and effectiveness of ML Ops processesRequirements: Bachelor's or Master's degree in Computer Science or a related field Strong experience in machine learning operations, including pipeline design, model training, model testing, and model deployment Proficient in containerization and orchestration tools like Docker and Kubernetes Expertise in programming languages such as Python, Java, or C++ Knowledge of software development methodologies, including Agile and DevOps Experience with big data technologies, including Hadoop, Spark, and Kafka Experience with cloud computing platforms like AWS, Azure, or GCP Excellent problem-solving and analytical skills Strong communication and interpersonal skillsPreferred: Experience with MLOps tools such as MLflow, Kubeflow, and AWS SageMaker Experience with configuration management tools such as Ansible, Chef, or Puppet Familiarity with data warehousing and SQL Experience with version control systems such as GitJob Types: Full-time, Regular / PermanentSalary: ₹1,500,000.00 - ₹2,400,000.00 per yearBenefits: Flexible schedule Health insurance Paid time offSchedule: Day shiftSupplemental pay types: Yearly bonusAbility to commute/relocate: Mumbai Suburban, Maharashtra: Reliably commute or planning to relocate before starting work (Required)Experience: Kubeflow: 2 years (Preferred) Python: 2 years (Required) Kubernetes: 1 year (Preferred) Hadoop: 1 year (Preferred) CI/CD processes: 1 year (Preferred) AWS: 2 years (Required) Machine learning: 2 years (Required)Speak with the employer+91-XXXXXXXXXX",1.27347492692333
